episode_id,bar_idx,ts,datetime,price,atr,macro_leg_direction,macro_leg_phase,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,smc_choch_text,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour
,1265,1385089200,2013-11-22 03:00,1245.05,7.75,REFERENCE_ONLY,REFERENCE_ONLY,-5.45,-10.43,-3.88,-1.86,-3.53,below,28.2,37.0,True,4.07,0.65,32.83,22.86,32.83,above,0.0,1,0,0.52,7.75,1.12,False,15.5,10.8,9.2,0,0,1,0,,32.83,1,0,0,0,5,2,0,0,0,7,0.0,4,0,1,4.75,1.4,,0,0,1,0.62,1,5.14,0,0,0,0,1,1.82,,,,,,,,,-0.03,3.34,5.14,1.17,demand,NORMAL_DEMAND_BASE,False,3,False
,1276,1385420400,2013-11-25 23:00,1252.45,7.61,REFERENCE_ONLY,REFERENCE_ONLY,-2.78,-8.62,-1.23,1.17,-1.69,below,27.1,34.3,True,1.23,2.88,49.55,25.03,49.55,above,0.0,0,5,1.07,7.61,1.11,False,49.6,38.4,26.1,0,1,1,0,,49.55,1,0,0,0,2,0,0,0,0,2,0.0,0,0,1,3.41,1.09,,1,0,1,0.95,1,4.26,0,0,0,0,1,1.31,,,,,,,0,CHOCH,0.27,2.32,4.26,3.51,demand,NORMAL_DEMAND_BASE,False,23,False
,1296,1385722800,2013-11-29 11:00,1252.36,5.8,REFERENCE_ONLY,REFERENCE_ONLY,1.64,-9.79,-0.02,1.35,0.49,above,31.9,33.8,True,0.14,2.51,49.65,41.64,49.65,above,0.0,0,2,1.65,5.8,0.84,False,82.4,40.6,29.7,0,0,0,0,,49.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.06,1.07,,1,0,1,1.06,1,5.6,0,0,0,0,1,1.47,,,,,,,9,CHOCH,1.26,1.99,5.6,3.16,demand,NORMAL_DEMAND_BASE,False,11,False
,1316,1386198000,2013-12-04 23:00,1238.53,8.5,REFERENCE_ONLY,REFERENCE_ONLY,-0.14,-3.78,-1.63,1.01,0.03,above,28.9,31.8,True,1.63,3.02,57.81,29.06,60.75,above,2.9,2,0,0.67,8.5,1.25,False,62.4,47.2,32.6,0,0,1,0,0.43,57.81,1,0,0,0,1,0,0,0,0,1,0.0,0,0,1,3.16,0.94,,1,1,1,1.63,1,1.32,1,1,1,0,1,0.05,,,,,,,,,-0.54,2.22,1.32,3.26,demand,NORMAL_DEMAND_BASE,False,23,False
,1363,1387220400,2013-12-16 19:00,1241,6.98,REFERENCE_ONLY,REFERENCE_ONLY,0.13,-0.11,-2.62,0.54,0.26,above,44.0,39.6,False,2.62,2.49,55.27,41.94,55.27,above,0.0,1,0,0.59,6.98,0.9,False,40.3,52.3,52.3,0,0,0,0,0.64,55.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.59,1.0,,1,1,1,0.19,1,2.02,0,1,0,0,1,1.63,,,,,,,,,-0.44,1.6,2.02,2.69,demand,NORMAL_DEMAND_BASE,False,19,False
,1402,1388070000,2013-12-26 15:00,1212.01,5.57,REFERENCE_ONLY,REFERENCE_ONLY,-3.62,-0.15,3.17,1.98,-0.82,below,37.4,41.0,True,0.49,3.32,59.3,39.84,59.3,above,0.0,1,0,0.85,5.57,0.67,False,43.3,32.6,30.8,0,0,0,0,0.11,59.3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2.86,1.09,,1,1,1,0.31,1,4.37,0,0,0,0,1,1.41,,,,,,,3,CHOCH,-0.48,1.77,4.37,2.96,demand,NORMAL_DEMAND_BASE,False,15,False
,1423,1388646000,2014-01-02 07:00,1221.23,9.55,REFERENCE_ONLY,REFERENCE_ONLY,2.4,-1.98,1.14,1.29,1.61,above,49.3,39.5,False,0.41,2.62,66.34,38.02,66.34,above,0.0,1,0,1.01,9.55,1.22,False,84.4,59.3,45.5,0,0,0,0,1.68,66.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.79,0.85,,1,1,1,0.4,1,1.58,1,1,0,0,1,1.04,,,,,,,1,CHOCH,-0.4,1.94,1.58,2.89,demand,NORMAL_DEMAND_BASE,False,7,False
,1433,1388962800,2014-01-05 23:00,1244.83,10.77,REFERENCE_ONLY,REFERENCE_ONLY,3.2,-1.34,3.72,2.29,3.15,above,54.6,40.8,False,0.0,4.51,67.54,58.93,68.39,above,0.8,0,4,1.16,10.77,1.36,False,97.7,97.7,77.2,0,0,0,1,2.28,67.54,0,4,0,0,0,0,0,0,4,0,4,0,0,1,4.67,0.75,,0,0,1,1.45,1,1.36,1,1,0,1,1,1.52,,,,,,,11,CHOCH,0.73,3.91,1.36,4.77,demand,NORMAL_DEMAND_BASE,False,23,False
,1461,1389366000,2014-01-10 15:00,1247.16,6.91,REFERENCE_ONLY,REFERENCE_ONLY,1.62,2.12,1.18,2.51,2.97,above,52.3,47.3,False,0.0,3.72,66.76,46.84,66.76,above,0.0,0,2,0.82,6.91,0.86,False,94.4,97.5,97.5,0,0,0,0,2.21,66.76,0,1,1,0,0,0,0,0,2,0,2,0,1,1,3.44,1.02,,1,0,1,1.99,1,1.78,1,1,0,0,1,1.53,,,,,,,,,0.55,2.41,1.78,3.54,demand,NORMAL_DEMAND_BASE,False,15,False
,1490,1389956400,2014-01-17 11:00,1248.58,5.29,REFERENCE_ONLY,REFERENCE_ONLY,0.99,8.05,-0.8,1.13,1.84,above,55.3,54.8,False,0.8,2.1,51.77,44.59,54.01,above,2.2,0,1,2.8,5.29,0.74,False,76.4,82.0,90.9,0,0,0,0,0.81,51.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.21,1.53,,0,0,1,0.9,1,2.05,0,1,0,1,1,1.65,,,,,,,14,CHOCH,1.12,8.68,2.05,2.82,swing,LATE_WIDE,False,11,False
