candidate_id,timestamp,source,label,GT_match,NAO_match,gt_id,at_D1_demand,inside_d1_demand,dist_above_d1_atr,d1_record_used_ts,supply_overhead,dist_to_supply,inside_custom_ob_demand,near_custom_ob_demand,dist_to_demand,inside_custom_ob_supply,macro_leg_id,macro_leg_phase,macro_leg_direction,feature_availability,context_notes
C1906,2014-04-28 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.61,2014-04-25T20:54:59+00:00,1,3.53,0,1,2.08,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1907,2014-04-28 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.5,2014-04-25T20:54:59+00:00,1,5.47,0,1,0.14,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1908,2014-04-28 22:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.42,2014-04-28T20:58:59+00:00,1,6.91,1,0,8.55,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1909,2014-04-29 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.44,2014-04-28T20:58:59+00:00,1,6.51,1,0,8.95,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1910,2014-04-29 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.14,2014-04-28T20:58:59+00:00,1,11.63,0,0,3.83,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1912,2014-04-29 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.44,2014-04-28T20:58:59+00:00,1,6.61,0,0,8.85,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1913,2014-04-29 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.46,2014-04-28T20:58:59+00:00,1,6.34,0,0,9.12,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1914,2014-04-29 22:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.41,2014-04-29T20:58:59+00:00,1,7.06,0,1,2.12,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1916,2014-04-30 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.24,2014-04-29T20:58:59+00:00,1,2.75,1,0,17.05,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1918,2014-04-30 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.49,2014-04-29T20:58:59+00:00,1,5.73,0,0,3.45,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1919,2014-04-30 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.19,2014-04-29T20:58:59+00:00,1,3.68,1,0,16.12,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1920,2014-04-30 22:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.64,2014-04-30T20:58:59+00:00,1,5.3,1,0,14.5,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1921,2014-05-01 02:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.65,2014-04-30T20:58:59+00:00,1,5.0,1,0,14.8,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1931,2014-05-02 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.48,2014-05-01T20:58:59+00:00,1,1.99,0,0,16.24,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1933,2014-05-05 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.79,2014-05-02T20:54:59+00:00,1,19.46,0,0,25.23,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1935,2014-05-05 10:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.21,2014-05-02T20:54:59+00:00,1,11.72,0,0,32.97,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1936,2014-05-05 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.99,2014-05-02T20:54:59+00:00,1,15.75,0,0,28.94,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1937,2014-05-05 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.02,2014-05-02T20:54:59+00:00,1,15.25,0,0,29.44,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1938,2014-05-05 22:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.15,2014-05-05T20:58:59+00:00,1,15.45,0,0,29.24,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1939,2014-05-06 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.14,2014-05-05T20:58:59+00:00,1,1.0,0,0,28.99,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1942,2014-05-06 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.08,2014-05-05T20:58:59+00:00,1,1.91,0,0,28.08,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1943,2014-05-06 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.04,2014-05-05T20:58:59+00:00,1,2.63,0,0,27.36,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1945,2014-05-07 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.2,2014-05-06T20:58:59+00:00,1,13.4,0,0,31.29,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1946,2014-05-07 06:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.14,2014-05-06T20:58:59+00:00,0,14.45,0,1,1.71,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1948,2014-05-07 14:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.61,2014-05-06T20:58:59+00:00,0,35.45,0,0,9.24,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1949,2014-05-07 18:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.61,2014-05-06T20:58:59+00:00,0,35.51,0,0,9.18,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1950,2014-05-07 22:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.59,2014-05-07T20:58:59+00:00,0,20.13,0,0,8.64,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1951,2014-05-08 02:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.66,2014-05-07T20:58:59+00:00,0,18.93,0,0,9.84,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1952,2014-05-08 06:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.69,2014-05-07T20:58:59+00:00,0,18.28,1,0,10.49,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1955,2014-05-08 18:00,fractal_3_3,UNKNOWN,no,no,,1,1,1.58,2014-05-07T20:58:59+00:00,0,20.21,1,0,8.56,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
