date,t,kind,price,atr,leg_atr,leg_pct,leg_usd,leg_days,path_eff,giveback_atr,power_score,durab_days,durab_atr,zigzag_out_atr,truncated,yr,tier,tier_clean
2024-06-21 11:30,1718969400,TOP,2368.69,2.38,21.85,2.2,52.0,0.26,0.8,6.33,17.6,9.5,31.6,21.8,0,2024,FORTE,MONSTRO
2026-04-01 23:30,1775086200,TOP,4800.25,11.35,21.69,5.13,246.1,0.27,0.79,5.78,17.2,2.8,21.7,21.7,0,2026,FORTE,MONSTRO
2025-05-15 22:45,1747349100,TOP,3252.27,4.53,21.65,3.02,98.2,0.54,0.45,6.18,9.8,2.5,21.7,21.7,0,2025,FORTE,FORTE
2025-09-15 01:00,1757898000,BOT,3626.51,3.56,21.5,2.11,76.5,1.51,0.25,4.26,5.4,169.0,554.2,21.5,0,2025,FORTE,MEDIO
2026-05-19 00:00,1779148800,TOP,4588.91,6.33,21.4,2.95,135.4,1.08,0.24,7.8,5.2,3.8,21.4,21.4,0,2026,FORTE,MEDIO
2025-07-25 00:45,1753404300,TOP,3373.55,2.35,20.63,1.44,48.5,0.61,0.45,4.78,9.3,6.3,44.9,20.6,0,2025,FORTE,FORTE
2026-03-13 02:00,1773367200,TOP,5128.47,7.86,20.51,3.14,161.2,0.84,0.33,7.71,6.8,47.8,131.0,20.5,0,2026,FORTE,MEDIO
2024-10-23 08:30,1729672200,TOP,2758.45,2.44,20.5,1.81,49.9,0.27,0.86,5.31,17.6,4.0,20.5,19.1,0,2024,FORTE,MONSTRO
2025-07-02 22:15,1751494500,TOP,3365.77,2.65,20.49,1.61,54.3,0.59,0.38,14.46,7.7,6.3,31.4,20.5,0,2025,FORTE,FORTE
2025-06-05 11:15,1749122100,TOP,3403.57,5.48,20.12,3.24,110.4,1.53,0.27,6.6,5.5,5.3,20.1,20.1,0,2025,FORTE,MEDIO
2025-06-29 22:15,1751235300,BOT,3246.35,5.58,20.03,3.44,111.7,1.55,0.38,3.99,7.5,221.5,421.6,20.0,0,2025,FORTE,FORTE
2025-09-04 03:00,1756954800,BOT,3511.22,8.18,19.98,4.65,163.4,3.33,0.21,3.96,4.2,175.6,255.2,20.0,0,2025,FORTE,MEDIO
2026-02-11 12:00,1770811200,TOP,5118.92,12.08,19.9,4.69,240.3,1.14,0.3,9.89,5.9,7.0,22.9,19.9,0,2026,FORTE,MEDIO
2025-07-09 08:30,1752049800,BOT,3282.41,4.66,19.86,2.82,92.6,2.83,0.17,4.39,3.3,14.8,33.6,19.9,0,2025,FORTE,MEDIO
2026-03-12 10:00,1773309600,TOP,5191.68,6.92,19.77,2.64,136.8,0.44,0.59,5.06,11.7,48.5,157.9,19.8,0,2026,FORTE,FORTE
2025-01-13 19:00,1736794800,BOT,2656.71,3.47,19.6,2.56,68.1,2.81,0.2,5.62,4.0,334.3,846.6,19.6,0,2025,FORTE,MEDIO
