block,nas_id,dir,nas_t,entry_t,entry_dt,entry_close,zone_id,zone_type,zone_low,zone_high,zone_width_atr,zone_age_bars,zone_pre_existing,zone_virgin,mitig_count,penetration_pct,bars_in_zone,acceptance_beyond_mid,arrival_atr,nas_dist_ema_atr,dist_edge_atr,nas_count_in_zone,nas_cluster_span_bars,nas_before_touch,op_flow,setup_vs_flow,last_smc,bars_since_smc,smc_bos_choch_50,rsi,hour_utc,dow,macro,macro_swing_dir,macro_ema_pos,leg_dir,setup_vs_macro,is_pullback,sweep_reclaim,sweep_depth_atr,failed_breakdown,brk_exc_atr,micro_choch,nas_density50,room_to_run_atr
2024-05-25_to_2024-08-25,1360,LONG,1718700300,1718701200,2024-06-18T09:00,2313.55,4803,DEMAND,2309.87,2312.82,1.291,60,False,True,0,0.715,3,True,4.064,-3.49,0.319,1,0,False,0,neutral,CHoCH,6,4,27.84,9,1,NEUTRAL,0,-1,-1,neutral_macro,False,0,3.81,0,-0.37,1,1,0.86
2024-05-25_to_2024-08-25,1368,SHORT,1718785800,1718786700,2024-06-19T08:45,2332.52,4788,SUPPLY,2333.51,2335.41,1.082,228,False,True,0,0.737,3,True,2.869,3.09,0.564,1,0,False,0,neutral,CHoCH,1,5,68.84,8,2,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,-0.28,1,1,2.29
2024-05-25_to_2024-08-25,1370,SHORT,1718848800,1718849700,2024-06-20T02:15,2335.47,4751,SUPPLY,2337.33,2339.54,1.088,476,False,True,0,0.742,3,False,3.841,3.11,0.916,2,318,True,0,neutral,CHoCH,3,4,66.4,2,3,BULL,1,1,-1,counter_macro,False,0,3.76,0,-0.28,1,1,3.1
2024-05-25_to_2024-08-25,1372,SHORT,1718849700,1718850600,2024-06-20T02:30,2333.69,4751,SUPPLY,2337.33,2339.54,1.072,477,False,True,0,0.742,4,False,3.782,2.86,1.765,3,319,True,0,neutral,CHoCH,4,4,65.31,2,3,BULL,1,1,-1,counter_macro,False,0,3.71,0,-0.28,1,2,2.19
2024-05-25_to_2024-08-25,1378,SHORT,1718930700,1718931600,2024-06-21T01:00,2361.13,4856,SUPPLY,2363.07,2365.47,1.501,31,False,True,0,0.725,3,False,2.151,4.3,1.213,1,0,False,0,neutral,EQH,6,4,67.83,1,4,BULL,1,1,1,counter_macro,False,0,2.87,0,-0.41,0,2,0.45
2024-05-25_to_2024-08-25,1380,LONG,1718982900,1718983800,2024-06-21T15:30,2327.18,4875,DEMAND,2328.35,2330.83,0.39,0,False,True,0,1.5,1,True,4.51,-5.18,-0.574,1,0,False,0,neutral,CHoCH,6,6,17.53,15,4,BULL,1,1,1,with_macro,False,0,5.5,0,0.8,1,1,0.6
2024-05-25_to_2024-08-25,1382,LONG,1718984700,1718985600,2024-06-21T16:00,2324.65,4842,DEMAND,2323.73,2326.26,0.393,177,False,False,1,1.19,3,False,4.448,-5.45,-0.25,1,0,False,0,neutral,CHoCH,8,6,16.82,16,4,BULL,1,1,1,with_macro,False,0,5.43,0,0.07,1,2,0.16
2024-05-25_to_2024-08-25,1384,LONG,1718985600,1718986500,2024-06-21T16:15,2326.31,4842,DEMAND,2323.73,2326.26,0.383,178,False,False,2,0.644,1,True,1.609,-5.15,0.008,2,1,True,0,neutral,CHoCH,9,6,18.75,16,4,NEUTRAL,1,-1,1,neutral_macro,False,0,5.29,0,-0.14,1,3,0.71
2024-05-25_to_2024-08-25,1404,LONG,1719180900,1719181800,2024-06-23T22:30,2321.61,4877,DEMAND,2316.67,2319.43,1.384,10,False,True,0,0.547,2,False,0.511,-4.9,1.093,1,0,False,0,neutral,CHoCH,30,2,27.57,22,6,NEUTRAL,1,-1,-1,neutral_macro,False,0,0.0,0,-0.63,0,2,0.47
2024-05-25_to_2024-08-25,1410,LONG,1719280800,1719281700,2024-06-25T02:15,2326.1,4888,DEMAND,2320.53,2323.16,1.508,58,False,True,0,0.008,2,False,2.873,-2.44,1.686,1,0,False,-1,reversal,CHoCH,11,4,33.04,2,1,NEUTRAL,0,1,-1,neutral_macro,False,0,2.13,0,-1.5,1,1,0.3
2024-05-25_to_2024-08-25,1420,LONG,1719414000,1719414900,2024-06-26T15:15,2300.98,4935,DEMAND,2293.45,2296.08,0.52,1,False,True,0,0.061,1,False,0.526,-3.08,0.969,1,0,False,0,neutral,BOS,7,3,34.9,15,2,NEUTRAL,0,-1,1,neutral_macro,False,0,4.36,0,-0.49,1,3,0.72
2024-05-25_to_2024-08-25,1424,SHORT,1719484200,1719485100,2024-06-27T10:45,2315.13,4933,SUPPLY,2315.22,2317.81,1.057,81,False,True,0,0.0,1,False,3.278,4.41,0.037,1,0,False,0,neutral,CHoCH,7,7,76.15,10,3,NEUTRAL,0,-1,-1,neutral_macro,False,0,6.15,0,-1.11,1,2,1.83
2024-05-25_to_2024-08-25,1426,SHORT,1719486900,1719487800,2024-06-27T11:30,2315.7,4933,SUPPLY,2315.22,2317.81,1.031,84,False,True,0,0.324,3,False,3.006,4.37,-0.191,2,3,True,1,reversal,CHoCH,10,7,76.01,11,3,NEUTRAL,0,-1,1,neutral_macro,False,0,6.38,0,-0.7,1,3,0.09
2024-05-25_to_2024-08-25,1428,SHORT,1719487800,1719488700,2024-06-27T11:45,2317.05,4933,SUPPLY,2315.22,2317.81,0.991,85,False,False,1,0.938,1,False,1.928,4.2,-0.7,3,4,True,1,reversal,CHoCH,11,7,74.47,11,3,NEUTRAL,0,-1,1,neutral_macro,False,0,6.74,0,-0.06,1,4,0.6
2024-05-25_to_2024-08-25,1429,SHORT,1719491400,1719492300,2024-06-27T12:45,2322.82,4923,SUPPLY,2319.29,2321.63,0.751,128,False,False,1,1.5,3,True,1.733,4.1,-1.133,1,0,False,1,reversal,CHoCH,15,7,69.86,12,3,NEUTRAL,0,-1,1,neutral_macro,False,0,8.16,0,1.22,1,5,1.09
2024-05-25_to_2024-08-25,1434,SHORT,1719495000,1719495900,2024-06-27T13:45,2323.33,4952,SUPPLY,2322.94,2325.44,0.715,0,False,True,0,0.804,1,False,1.474,4.22,-0.112,1,0,False,1,reversal,CHoCH,19,6,71.64,13,3,NEUTRAL,0,-1,1,neutral_macro,False,0,7.27,0,0.0,1,7,1.12
2024-05-25_to_2024-08-25,1444,SHORT,1719574200,1719575100,2024-06-28T11:45,2333.93,4906,SUPPLY,2335.01,2337.08,0.905,276,False,True,0,1.034,6,False,2.371,3.62,0.472,1,0,False,1,reversal,BOS,4,4,71.1,11,4,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,0.03,1,2,2.12
2024-05-25_to_2024-08-25,1445,SHORT,1719575100,1719576000,2024-06-28T12:00,2334.17,4906,SUPPLY,2335.01,2337.08,0.991,277,False,True,0,1.034,7,False,2.594,3.4,0.402,2,1,False,1,reversal,BOS,5,4,69.17,12,4,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,0.03,1,3,2.44
2024-05-25_to_2024-08-25,1448,SHORT,1719576000,1719576900,2024-06-28T12:15,2333.31,4969,SUPPLY,2334.79,2337.15,1.147,0,False,True,0,0.169,1,False,1.487,3.13,0.719,1,0,False,1,reversal,BOS,6,4,66.5,12,4,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,-0.95,1,4,2.06
2024-05-25_to_2024-08-25,1452,SHORT,1719836100,1719837000,2024-07-01T12:30,2330.29,4971,SUPPLY,2337.26,2339.69,0.954,85,False,True,0,0.514,4,False,4.049,3.29,2.737,1,0,False,1,reversal,CHoCH,7,3,68.11,12,0,BULL,1,1,1,counter_macro,False,0,0.0,0,-0.46,1,1,1.35
2024-05-25_to_2024-08-25,1454,SHORT,1719984600,1719985500,2024-07-03T05:45,2333.36,5010,SUPPLY,2334.37,2336.8,1.51,55,False,True,0,0.588,4,False,3.443,2.9,0.628,1,0,False,-1,continuation,CHoCH,5,7,67.87,5,2,BULL,1,1,1,counter_macro,False,0,2.74,0,-0.62,1,1,1.19
2024-05-25_to_2024-08-25,1464,SHORT,1719997200,1719998100,2024-07-03T09:15,2343.25,5024,SUPPLY,2345.19,2347.55,0.811,0,False,True,0,0.148,1,False,0.88,4.17,0.667,1,0,False,1,reversal,BOS,9,7,70.86,9,2,BULL,1,1,-1,counter_macro,False,0,5.55,0,0.0,1,6,0.69
2024-05-25_to_2024-08-25,1474,SHORT,1720018800,1720019700,2024-07-03T15:15,2362.61,4874,SUPPLY,2365.61,2368.69,0.598,741,False,True,0,0.0,1,False,1.993,4.14,0.582,1,0,False,1,reversal,BOS,8,5,67.14,15,2,BULL,1,1,1,counter_macro,False,0,6.51,0,-0.95,0,11,0.85
2024-05-25_to_2024-08-25,1478,SHORT,1720058400,1720059300,2024-07-04T02:15,2359.37,5032,SUPPLY,2361.92,2363.99,1.164,33,False,True,0,0.29,4,False,1.744,3.45,1.434,1,0,False,1,reversal,BOS,2,3,66.37,2,3,BULL,1,1,-1,counter_macro,False,0,0.0,0,-0.83,0,4,0.29
