event_id,symbol,tf,cls_at_signal,r,bubble,nas,shapes_n
2026-05-07T21:00:00.690881+00:00_PEPPERSTONE:EURUSD_15_monitor_dynamic_line,EURUSD,15,SETUP_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-07T21:00:00.685948+00:00_PEPPERSTONE:ETHUSD_240_monitor_trendline_lta,ETHUSD,240,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-07T22:30:01.006378+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
2026-05-07T23:30:02.481733+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,
2026-05-07T23:30:02.558798+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-08T00:00:05.265414+00:00_PEPPERSTONE:XPTUSD_60_monitor_zone,XPTUSD,60,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-08T00:30:03.935030+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-08T02:00:10.644172+00:00_PEPPERSTONE:XPTUSD_240_monitor_zone,XPTUSD,240,SETUP_CANDIDATO_FORTE,2.0,cluster_absent,NONE,0.0
2026-05-08T04:00:14.913085+00:00_PEPPERSTONE:XAUUSD_60_monitor_zone,XAUUSD,60,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
2026-05-08T05:00:03.861549+00:00___,,,SETUP_EM_OBSERVACAO,0.0,unclear,NONE,
2026-05-08T06:00:15.437581+00:00_PEPPERSTONE:XAUUSD_60_monitor_zone,XAUUSD,60,SETUP_EM_OBSERVACAO,2.55,unclear,NONE,
2026-05-08T09:00:08.439315+00:00_PEPPERSTONE:EURUSD_30_monitor_dynamic_bb_zone,EURUSD,30,SETUP_CANDIDATO_FORTE,2.57,cluster_absent,NONE,0.0
2026-05-08T10:00:00.884371+00:00_PEPPERSTONE:XAUUSD_15_monitor_zone,XAUUSD,15,SETUP_EM_OBSERVACAO,1.94,unclear,NONE,
2026-05-08T11:00:11.256013+00:00_PEPPERSTONE:XAUUSD_60_monitor_zone,XAUUSD,60,INTRADAY_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-08T13:30:04.150904+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,SETUP_CANDIDATO_FORTE,1.0,cluster_present,NONE,
2026-05-08T15:30:13.372645+00:00_PEPPERSTONE:XPTUSD_30_monitor_zone,XPTUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-08T15:45:01.808283+00:00_PEPPERSTONE:XAUUSD_15_monitor_zone,XAUUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-08T16:00:15.166658+00:00_PEPPERSTONE:XPTUSD_60_monitor_zone,XPTUSD,60,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-08T17:00:16.221265+00:00_PEPPERSTONE:XAUUSD_15_monitor_zone,XAUUSD,15,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
2026-05-08T17:30:09.500380+00:00_PEPPERSTONE:ETHUSD_15_monitor_dynamic_line,ETHUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-08T18:00:15.699741+00:00_PEPPERSTONE:XPTUSD_240_monitor_zone,XPTUSD,240,SETUP_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-08T18:00:00.681686+00:00_PEPPERSTONE:XAUUSD_60_monitor_zone,XAUUSD,60,SETUP_CANDIDATO_FORTE,2.08,cluster_present,NONE,
2026-05-08T20:15:02.001268+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-08T20:56:00.687500+00:00_PEPPERSTONE:ETHUSD_240_monitor_trendline_lta,ETHUSD,240,SETUP_EM_OBSERVACAO,1.0,unclear,NONE,
2026-05-08T22:30:04.787975+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-09T04:45:01.167396+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_CANDIDATO_FORTE,2.27,unclear,NONE,
2026-05-09T06:45:01.315568+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_CANDIDATO_FORTE,4.95,cluster_absent,NONE,
2026-05-09T08:00:03.408080+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_EM_OBSERVACAO,2.0,cluster_absent,NONE,
2026-05-09T09:15:03.351544+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_EM_OBSERVACAO,2.0,cluster_absent,NONE,
2026-05-09T13:00:06.998164+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_CANDIDATO_FORTE,2.0,cluster_absent,NONE,0.0
2026-05-09T13:30:02.929932+00:00_PEPPERSTONE:ETHUSD_30_monitor_dynamic_bb_zone,ETHUSD,30,SETUP_EM_OBSERVACAO,2.7,unclear,NONE,
2026-05-11T06:47:06.535413+00:00_PEPPERSTONE:ETHUSD_30_setup_watch_recheck,ETHUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-11T06:47:06.532607+00:00_PEPPERSTONE:ETHUSD_30_setup_watch_recheck,ETHUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-11T06:47:06.537153+00:00_PEPPERSTONE:ETHUSD_30_setup_watch_recheck,ETHUSD,30,SETUP_CANDIDATO_FORTE,-1.0,cluster_present,NONE,
2026-05-11T08:00:03.131580+00:00_VANTAGE:USOUSD_30_monitor_dynamic_bb_zone,USOUSD,30,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,
2026-05-11T09:00:09.819219+00:00_VANTAGE:USOUSD_30_setup_watch_recheck,USOUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-11T10:00:09.894314+00:00_PEPPERSTONE:XPTUSD_15_monitor_dynamic_bb_zone,XPTUSD,15,SETUP_EM_OBSERVACAO,9.45,unclear,NONE,
2026-05-11T12:30:08.740322+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_CANDIDATO_FORTE_INTRADAY,2.43,unclear,NONE,
2026-05-11T13:00:04.927765+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_CANDIDATO_FORTE_INTRADAY,-1.0,unclear,NONE,
2026-05-11T15:15:05.077662+00:00_PEPPERSTONE:XPTUSD_15_monitor_dynamic_bb_zone,XPTUSD,15,SETUP_CANDIDATO_FORTE,2.4,unclear,NONE,
2026-05-11T15:30:23.753163+00:00_PEPPERSTONE:XPTUSD_15_setup_watch_recheck,XPTUSD,15,SETUP_CANDIDATO_FORTE_INTRADAY (SHORT),6.29,unclear,NONE,
2026-05-11T15:30:53.793075+00:00_VANTAGE:USOUSD_30_setup_watch_recheck,USOUSD,30,SETUP_EM_OBSERVACAO (SHORT),-1.0,unclear,NONE,
