strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF1D+12H|tgt2.5R,11,9.37,0.8515,0.636,4.67,2,-1.31,-1.05,0.05,0.2
BTC_SWING_4H_brk20_b50|DXY_strong_bear+BTCD_bull|HTF_none|tgt4.0R,26,9.35,0.3596,0.462,1.83,5,-6.19,-10.8,0.11,0.47
BTC_SWING_4H_brk20_b50|DXY_strong_bear+BTCD_bull|HTF1D|tgt4.0R,26,9.35,0.3596,0.462,1.83,5,-6.19,-10.8,0.11,0.47
BTC_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt2.0R,92,9.31,0.1012,0.402,1.25,6,-0.44,-10.19,0.34,1.45
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_strong_bull|HTF_none|tgt3.0R,16,9.26,0.5788,0.562,2.34,3,-3.62,-6.3,0.07,0.29
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_strong_bull|HTF1D+12H|tgt3.0R,20,9.26,0.4631,0.55,2.24,3,-3.61,-7.26,0.09,0.36
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_strong_bull|HTF1D|tgt3.0R,16,9.26,0.5788,0.562,2.34,3,-3.62,-6.3,0.07,0.29
BTC_SWING_4H_brk10_b60|BTCD_strong_bull|HTF_none|tgt2.5R,53,9.25,0.1745,0.396,1.48,10,-3.0,-12.73,0.2,0.85
BTC_SWING_4H_brk10_b60|BTCD_strong_bull|HTF1D+12H|tgt2.5R,53,9.25,0.1745,0.396,1.48,10,-3.0,-12.73,0.2,0.85
BTC_SWING_4H_brk10_b60|BTCD_strong_bull|HTF1D|tgt2.5R,53,9.25,0.1745,0.396,1.48,10,-3.0,-12.73,0.2,0.85
BTC_SWING_4H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+12H|tgt4.0R,31,9.24,0.298,0.355,1.71,5,-6.15,-12.54,0.11,0.49
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear+BTCD_bull|HTF1D+12H|tgt3.0R,27,9.22,0.3415,0.37,1.93,6,-4.67,-9.88,0.11,0.49
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt2.5R,67,9.08,0.1355,0.388,1.31,6,-3.17,-15.06,0.25,1.05
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF_none|tgt2.5R,67,9.08,0.1355,0.388,1.31,6,-3.17,-15.06,0.25,1.05
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF1D|tgt2.5R,20,9.06,0.453,0.5,2.13,3,-2.83,-8.04,0.09,0.36
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF_none|tgt2.5R,20,9.06,0.453,0.5,2.13,3,-2.83,-8.04,0.09,0.36
BTC_SWING_4H_failed_breakdown|BTCD_bull|HTF1D+12H|tgt4.0R,42,9.04,0.2152,0.238,1.52,12,-9.8,-17.28,0.17,0.73
BTC_SWING_4H_brk_dec_b60_r12|DXY_strong_bear+BTCD_bull|HTF1D+12H|tgt4.0R,29,8.97,0.3092,0.448,1.72,6,-6.57,-11.79,0.12,0.53
BTC_SWING_4H_failed_breakdown|BTCD_bull|HTF_none|tgt4.0R,45,8.96,0.1991,0.244,1.46,12,-10.79,-19.1,0.18,0.78
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_bull|HTF_none|tgt3.0R,26,8.96,0.3447,0.462,1.84,3,-4.93,-10.22,0.11,0.47
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_bull|HTF1D|tgt3.0R,26,8.96,0.3447,0.462,1.84,3,-4.93,-10.22,0.11,0.47
BTC_SWING_4H_brk10_b70|BTCD_bull|HTF_none|tgt3.0R,56,8.93,0.1594,0.357,1.42,8,-5.82,-15.21,0.21,0.9
BTC_SWING_4H_brk10_b70|BTCD_bull|HTF1D|tgt3.0R,56,8.93,0.1594,0.357,1.42,8,-5.82,-15.21,0.21,0.9
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_strong_bull|HTF_none|tgt4.0R,21,8.86,0.4221,0.524,2.04,3,-4.66,-8.31,0.09,0.38
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_strong_bull|HTF1D|tgt4.0R,21,8.86,0.4221,0.524,2.04,3,-4.66,-8.31,0.09,0.38
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear+BTCD_strong_bull|HTF1D+12H|tgt3.0R,20,8.81,0.4404,0.45,2.2,5,-4.07,-7.29,0.08,0.36
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF_none|tgt2.5R,50,8.81,0.1763,0.4,1.5,8,-3.44,-12.7,0.19,0.8
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF1D|tgt2.5R,50,8.81,0.1763,0.4,1.5,8,-3.44,-12.7,0.19,0.8
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_strong_bull|HTF1D+12H|tgt2.5R,15,8.81,0.5874,0.6,2.51,3,-2.57,-5.25,0.06,0.27
BTC_SWING_4H_brk20_b50|BTCD_strong_bull|HTF1D+12H|tgt2.5R,50,8.81,0.1763,0.4,1.5,8,-3.44,-12.7,0.19,0.8
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF_none|tgt2.5R,38,8.76,0.2306,0.447,1.61,6,-3.13,-10.01,0.14,0.61
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF1D|tgt2.5R,38,8.76,0.2306,0.447,1.61,6,-3.13,-10.01,0.14,0.61
