bar_idx,datetime,mfe_R,capped,letrun,policy,class_ABCDE,leg,context
6471,2024-03-08,1.28,0.05,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6489,2024-03-13,1.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6523,2024-03-21,0.43,1.17,-1.0,REVIEW_RISK,E_residual,MACRO_TRANSITION,PULLBACK
6597,2024-04-09,0.32,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
6610,2024-04-11,2.93,-1.1,-1.0,TAKE,E_residual,MACRO_BULL_LEG,PULLBACK
6711,2024-05-06,0.12,1.78,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
6729,2024-05-09,7.44,1.69,2.14,TAKE,B_bom_prejudicado_exit,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6741,2024-05-13,0.0,0.9,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6767,2024-05-17,1.87,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6791,2024-05-23,7.63,1.91,-1.0,SKIP,B_bom_prejudicado_exit,MACRO_CORRECTIVE_PULLBACK,TOP
6819,2024-05-30,0.61,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
6832,2024-06-03,0.23,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
6844,2024-06-05,1.62,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
6887,2024-06-14,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BEAR_LEG,PULLBACK
6908,2024-06-20,2.88,-1.1,-1.0,TAKE,E_residual,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6923,2024-06-24,0.15,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6954,2024-07-01,0.02,3.9,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
6962,2024-07-03,9.19,3.16,4.99,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
