bar_idx,datetime,new_pol,why,eng_pol,mfe_R,letrun,skip_winner_recovered,loser_take_cut,s_supply,s_leg,s_pullback,s_capit,s_regime,s_vol,s_bearbuy
2204,2021-06-07,TAKE,REVERSAL_RUNNER,TAKE,1.21,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,CLIMAX_RECLAIM,BULL,IN_VALUE,NOT_BEAR
2222,2021-06-10,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,REJECTING,MID_LEG,MID,FALLING_KNIFE,BULL,REJECTED_BELOW,NOT_BEAR
2320,2021-07-02,REVIEW,AMBIGUOUS,SKIP,3.56,2.03,0,0,CLEAR,MID_LEG,MID,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
2364,2021-07-14,REVIEW,AMBIGUOUS,SKIP,1.75,-1.0,0,0,CLEAR,LATE_EXTENDED,MID,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
2372,2021-07-15,REVIEW,AMBIGUOUS,TAKE,1.0,-1.0,0,0,TESTING,MID_LEG,MID,NONE,RANGE,REJECTED_BELOW,NOT_BEAR
2428,2021-07-28,REVIEW,AMBIGUOUS,SKIP,2.35,-1.0,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
2488,2021-08-11,REVIEW,AMBIGUOUS,SKIP,6.2,2.81,0,0,CLEAR,MID_LEG,DISTRIBUTION,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
2497,2021-08-13,SKIP,BEAR_PULLBACK_TRAP,SKIP,7.42,3.58,0,0,CLEAR,MID_LEG,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
2544,2021-08-25,SKIP,BEAR_PULLBACK_TRAP,TAKE,0.6,-1.0,0,1,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
2663,2021-09-22,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.24,-1.0,0,0,TESTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
2705,2021-10-01,TAKE,LEGITIMATE_BEAR_BUY,SKIP,4.66,3.35,0,0,REJECTING,MID_LEG,DISTRIBUTION,BOTTOM_FORMING,BEAR_MARKDOWN,IN_VALUE,LEGITIMATE_BEAR_BUY
2737,2021-10-08,TAKE,LEGITIMATE_BEAR_BUY,REVIEW,0.0,-1.0,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
