plot_id,set,datetime,d1_leg,regimeB_state,regimeB_combined,macro_broken,weekly_slope,weekly_rsi,spec_regime,spec_mtf,sup_cat,pol_cat,demand_cat,has_overhead,dist_supply,dist_demand,supply_broken,demand_touched,spec_supply,spec_demand,spec_volume,below_VAL,dist_POC,dist_VAL,va_width,rel_volume,trend_30,trend_90,rsi,rsi_1d,legpos90,legpos30,rise20,drop20,bear_div,spec_momentum,spec_capit,rsi_min8,sweet_spot,reclaim_body,spec_fuel,macro_state,macro_family,macro_confidence,sl_atr,sl_type,spec_risk,bear_leg_v3,clean_sky_flag,micro_residual,deep7_member,EVAL_exitype,EVAL_realR,EVAL_sl_atr
S24,A,2024-07-03,MACRO_RANGE,TRANSITION,0,False,0.59,65.699,MACRO_TRANSITION_RISK,PARTIAL_BULL,SUPPLY_FRESH_DANGEROUS,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,0.97,2.76,0,1,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.32,1.68,0.46,1.06,3.01,3.24,55.74,50.3,70.2,97.7,2.61,0.0,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,49.79,False,1.3,low_fuel,RANGE_MACRO_BULL_RECLAIM,BULL,medium,2.86,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,3.16,2.86
S25,A,2024-08-15,MACRO_RANGE,BULL,2,False,0.22,71.518,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,1,1.59,1.5,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,REJECTION_BELOW_VALUE,True,-0.9,-0.55,0.44,1.34,2.19,5.73,54.9,58.0,72.1,57.8,0.71,2.05,1.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,47.27,True,-0.89,low_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,0.58,V_REVERSAL_DEMAND,SL_TOO_SHORT,ALLOW,,NO,NO,WIN_RUNNER,3.9,0.58
S26,A,2024-09-04,MACRO_RANGE,BULL,2,False,0.402,69.627,MACRO_BULL,PARTIAL_BULL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_TOO_DEEP,1,1.14,4.79,0,0,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,True,-1.14,-0.38,1.13,,-2.76,0.84,44.44,55.2,49.7,17.4,0.16,4.12,0.0,STRONG_BULL_MOMENTUM,FALLING_KNIFE,34.28,False,-1.12,low_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,0.92,NORMAL_DEMAND_BASE,SL_TOO_SHORT,ALLOW,,NO,NO,WIN_RUNNER,3.9,0.92
S27,A,2025-05-28,MACRO_CORRECTIVE_PULLBACK,BULL,1,False,1.117,64.404,MACRO_BULL,PARTIAL_BULL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_ORIGIN_OF_LEG,1,1.58,2.55,0,0,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.24,0.43,1.42,1.13,-3.21,-6.26,35.44,52.3,48.7,15.1,0.0,4.28,0.0,WEAK_MOMENTUM,FALLING_KNIFE,35.44,True,-0.99,low_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,2.65,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,1.78,2.65
S28,C,2025-07-11,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,False,0.77,62.313,MACRO_BULL,MTF_CONFLICT,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,2.22,2.12,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.4,0.91,0.66,1.25,-0.02,-0.39,58.41,50.2,62.7,89.8,3.65,0.0,0.0,WEAK_MOMENTUM,NO_CAPITULATION,47.46,False,0.38,medium_fuel,BULL_PULLBACK_CONTINUATION,BULL,high,2.22,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_CORRECTIVE_PULLBACK,,NO,NO,WIN_HELD,1.01,2.22
S29,A,2025-09-02,MACRO_RANGE,BULL,3,False,0.274,71.151,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,0,,5.4,0,1,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,False,0.06,0.2,0.7,1.23,7.07,8.42,81.34,73.8,92.2,89.1,6.5,0.27,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,73.44,False,-0.27,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,5.5,TOP_EXHAUSTION,SL_TOO_WIDE,ALLOW,,NO,NO,WIN_HELD,1.95,5.5
S30,A,2025-09-15,MACRO_BULL_LEG,BULL,3,False,0.374,72.901,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,0,,4.29,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,2.37,3.1,1.93,0.57,2.8,20.45,69.17,77.5,98.0,90.8,3.72,0.19,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,55.23,False,-0.19,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,4.39,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,2.05,4.39
S31,A,2025-10-01,MACRO_BULL_LEG,BULL,2,False,0.67,79.482,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,0,,2.86,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,0.23,0.64,0.75,1.12,3.99,7.94,67.8,84.0,92.1,87.4,4.69,0.57,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,53.57,False,-0.57,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,2.96,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,2.83,2.96
S32,A,2025-10-03,MACRO_BULL_LEG,BULL,2,False,0.67,79.482,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,0,,2.63,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.08,1.49,0.82,1.07,5.01,9.61,57.25,81.0,94.7,90.7,3.48,0.26,1.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,52.46,True,0.76,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,2.73,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_RUNNER,3.9,2.73
S34,A,2025-10-13,MACRO_BULL_LEG,BULL,1,False,0.851,81.8,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,0,,3.24,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.34,0.75,0.81,0.89,3.29,8.65,66.32,81.9,99.3,98.3,3.1,0.0,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,49.64,False,0.33,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,3.34,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_BE,0.9,3.34
S35,A,2025-12-16,MACRO_RANGE,BULL,2,False,1.373,77.569,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,1,1.37,0.98,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,False,-0.08,0.54,0.77,0.94,3.31,4.55,57.84,63.4,73.6,64.9,2.31,1.79,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,57.84,True,-0.03,low_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,1.08,V_REVERSAL_DEMAND,SL_TOO_SHORT,ALLOW,,NO,NO,WIN_RUNNER,3.9,1.08
S36,A,2026-01-06,MACRO_BULL_LEG,TRANSITION,3,False,1.182,71.751,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,DEMAND_TOO_DEEP,1,1.35,4.94,0,0,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,IN_VALUE_BALANCE,False,-0.13,0.25,0.82,0.77,3.36,5.22,65.57,60.3,73.0,88.6,4.88,0.6,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,59.15,False,-0.64,low_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,5.04,NORMAL_DEMAND_BASE,SL_TOO_WIDE,ALLOW,,NO,NO,WIN_HELD,1.97,5.04
S37,A,2026-01-08,MACRO_BULL_LEG,BULL,1,False,1.182,71.751,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,1,1.09,3.76,0,0,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,False,-0.23,0.0,0.59,0.82,3.21,4.36,51.33,57.9,58.2,70.3,3.06,1.87,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,51.33,False,-0.24,low_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,3.86,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,2.45,3.86
