episode_id,datetime,final_policy,exit,realR,macro_context,risk_sl,error_state,cause
5998,2023-11-16,REVIEW,WIN_HELD,2.0,MACRO_TRANSITION,SL_OK,REVIEW_SHOULD_BE_TAKE,supply_lens/regime_underread
6049,2023-11-29,HUMAN_VISUAL_REQUIRED,WIN_BE,0.9,MACRO_RANGE,SL_TOO_WIDE,HUMAN_VISUAL_REQUIRED_DUE_MICRO,risk_sl|microstructure
6069,2023-12-04,REVIEW,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,REVIEW_CORRECT,ok
6119,2023-12-14,REVIEW,SCRATCH,0.31,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
6162,2023-12-26,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_TOO_WIDE,HUMAN_VISUAL_REQUIRED_DUE_MICRO,risk_sl|microstructure
6193,2024-01-04,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
6210,2024-01-08,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
6295,2024-01-29,SKIP_STRUCTURAL,SCRATCH,-0.32,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
6362,2024-02-13,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
6376,2024-02-15,TAKE_CANDIDATE,WIN_HELD,1.89,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
6453,2024-03-05,SKIP_STRUCTURAL,SCRATCH,0.13,MACRO_CORRECTIVE_PULLBACK,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
6471,2024-03-08,SKIP_STRUCTURAL,SCRATCH,0.05,MACRO_CORRECTIVE_PULLBACK,SL_OK,SKIP_CORRECT,ok
6489,2024-03-13,UNKNOWN,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_OK,RESIDUAL_ACCEPTABLE,ok
6523,2024-03-21,HUMAN_VISUAL_REQUIRED,SCRATCH,1.17,MACRO_TRANSITION,SL_TOO_WIDE,HUMAN_VISUAL_REQUIRED_DUE_MICRO,risk_sl|microstructure
6597,2024-04-09,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
