bar_idx,datetime,engine_policy,engine_family,indicator_score,indicator_confluence,bubbles,nas,smc,rsi,crossed_policy,EVAL_exitype,EVAL_realR
4530,2022-12-05,TAKE,BULL,-3,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_SHORT_CLUSTER,SMC_CHOCH_REVERSAL,RSI_NO_DIV,DOWNGRADE_REVIEW,WIN_HELD,1.28
4574,2022-12-15,TAKE,BULL,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
4609,2022-12-22,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_NEUTRAL,WIN_RUNNER,3.9
4644,2023-01-03,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_BUY_DOMINANCE,NAS_SHORT_CLUSTER,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,WIN_HELD,2.17
4677,2023-01-11,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,WIN_HELD,2.05
4763,2023-01-31,TAKE,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,DOWNGRADE_REVIEW,STOP_LOSS,-1.1
4899,2023-03-03,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,STOP_LOSS,-1.1
4908,2023-03-06,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
4918,2023-03-08,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_LONG_RECENT,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_RUNNER,3.9
4926,2023-03-09,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_RUNNER,3.9
4964,2023-03-20,REVIEW_RISK,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,REVIEW_RISK_BULL,SCRATCH,-0.43
4996,2023-03-27,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_SHORT_CLUSTER,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,2.51
5016,2023-03-30,TAKE,BULL,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_NEUTRAL,STOP_LOSS,-1.1
5042,2023-04-06,REVIEW_RISK,BULL,-1,WEAK_BEAR,BUBBLE_BUY_DOMINANCE,NAS_SHORT_CLUSTER,SMC_CHOCH_REVERSAL,RSI_NO_DIV,REVIEW_RISK,SCRATCH,-0.41
5055,2023-04-11,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_WEAK,STOP_LOSS,-1.1
5087,2023-04-18,REVIEW_RISK,BULL,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
5103,2023-04-21,TAKE,BULL,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_NEUTRAL,WIN_HELD,2.34
5147,2023-05-02,TAKE,BULL,1,WEAK_BULL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,SCRATCH,-0.8
5165,2023-05-05,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_BUY_DOMINANCE,NAS_SHORT_CLUSTER,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,STOP_LOSS,-1.1
5296,2023-06-06,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
5321,2023-06-12,TAKE,BULL,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_BEAR_DIV,DOWNGRADE_REVIEW,STOP_LOSS,-1.1
5331,2023-06-14,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
5350,2023-06-19,TAKE,BULL,-1,WEAK_BEAR,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,TAKE_WEAK,STOP_LOSS,-1.1
5414,2023-07-04,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
5435,2023-07-07,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,WIN_HELD,1.61
5478,2023-07-18,TAKE,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
5530,2023-07-31,SKIP,RISK,0,NEUTRAL,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
5555,2023-08-04,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
5627,2023-08-22,SKIP,RISK,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_1D_LONG,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,1.96
5668,2023-08-31,REVIEW_RISK,BULL,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_DOMINANCE,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,REVIEW_RISK_BULL,STOP_LOSS,-1.1
5701,2023-09-07,SKIP,RISK,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
5724,2023-09-13,SKIP,RISK,0,NEUTRAL,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,SKIP_NEUTRAL,WIN_BE,0.9
