episode_first_idx,candidate_id,timestamp,n_candidates_in_episode,outcome_R_2R,outcome_how,dist_supply_low_atr,demand_category,supply_category,polarity_category,reclass,near_BOM_12b,dense_leg,buckets
6977,C6977,2024-07-05 18:00,4,2.0,target,3.23,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_ACCEPTED_ABOVE_SUPPLY,NA,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED
6992,C6992,2024-07-10 06:00,11,2.0,target,1.29,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
7022,C7022,2024-07-17 06:00,13,-1.0,stop,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
7053,C7053,2024-07-24 10:00,1,-1.0,stop,3.77,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
7065,C7065,2024-07-26 10:00,18,2.0,target,2.47,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
7094,C7094,2024-08-02 06:00,10,-1.0,stop,0.39,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_FRESH_DANGEROUS,POLARITY_UNDER_SUPPLY_PRESSURE,NA,0,1,UNKNOWN_LOW_OUTCOME_NAOlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
7119,C7119,2024-08-08 10:00,1,2.0,target,3.55,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_ACCEPTED_ABOVE_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
7129,C7129,2024-08-12 02:00,9,2.0,target,2.91,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
7149,C7149,2024-08-15 10:00,30,2.0,target,1.59,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_DUPLICATE_DENSE_LEG
7232,C7232,2024-09-04 06:00,8,2.0,target,1.14,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
7253,C7253,2024-09-09 18:00,27,2.0,target,0.86,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
7408,C7408,2024-10-15 14:00,3,2.0,target,,DEMAND_TOO_DEEP,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT
7426,C7426,2024-10-18 14:00,10,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
7454,C7454,2024-10-25 06:00,20,2.0,target,0.75,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_DUPLICATE_DENSE_LEG
7509,C7509,2024-11-07 11:00,4,-1.0,stop,2.07,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,0,UNKNOWN_DEMAND_SUPPORTED
7549,C7549,2024-11-18 03:00,5,2.0,target,1.16,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED
