bar_idx,timestamp,active_flags,active_objectives,n_always_on,n_foreground,foreground_per_objective,n_probes,probes_mandatory,n_also_available,foreground_large_diag,n_sosias,has_continuation,micro62,swing41
3678,2022-05-19,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,6,0,0,0
3773,2022-06-10,leg_bull|regime_distribution_warning,topo/range/chop,47,7,topo:7,6,0,33,0,0,0,0,0
3799,2022-06-16,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,0
3825,2022-06-23,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,13,0,0,0
3836,2022-06-26,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,0,7,1,2,0,0,0
3929,2022-07-18,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,25,0,1,0
3949,2022-07-21,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,0,7,1,1,0,1,0
4095,2022-08-25,regime_distribution_warning|range_or_chop|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,0
4243,2022-09-28,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,25,0,0,0
4309,2022-10-13,regime_distribution_warning|range_or_chop|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,6,0,0,0
4346,2022-10-23,leg_bear|regime_distribution_warning|supply_threat,bear-buy-legitimo-vs-trap|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,32,bear:14 markup:8 topo:3 preservar:7,6,1,8,1,25,0,0,0
4372,2022-10-28,leg_bull|regime_distribution_warning|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,0,25,0,2,0,0,0
4384,2022-11-01,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,0,7,1,2,0,1,0
4401,2022-11-04,leg_bear|regime_distribution_warning|capit_or_flush|supply_threat,bear-buy-legitimo-vs-trap|reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,33,bear:14 reversao:6 markup:7 topo:2 preservar:4,6,1,7,1,13,0,1,0
4429,2022-11-10,regime_distribution_warning|range_or_chop|supply_threat|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,0
4483,2022-11-23,regime_distribution_warning|range_or_chop|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,0,10,1,1,0,1,0
4513,2022-11-30,leg_bull|regime_distribution_warning|supply_threat|late_top_or_high_legpos,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,25,0,0,0
4530,2022-12-05,leg_bull,,47,0,,6,0,40,0,0,0,0,0
4574,2022-12-15,leg_bull|supply_threat,markup-through-supply-vs-supply-rejection|topo/range/chop,47,15,markup:11 topo:4,6,1,25,0,13,0,0,1
4609,2022-12-22,leg_bull|capit_or_flush,reversao/fundo/capitulacao|preservar-monumentais,47,22,reversao:12 preservar:10,6,1,18,0,1,0,0,0
4644,2023-01-03,leg_bull|capit_or_flush|supply_threat|late_top_or_high_legpos,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,1,0,1,0
4677,2023-01-11,leg_bull|clean_sky|late_top_or_high_legpos,topo/range/chop,47,7,topo:7,6,1,33,0,9,0,1,0
4763,2023-01-31,leg_bull|capit_or_flush|supply_threat,reversao/fundo/capitulacao|markup-through-supply-vs-supply-rejection|topo/range/chop|preservar-monumentais,47,30,reversao:12 markup:10 topo:2 preservar:6,6,1,10,1,6,0,0,0
4899,2023-03-03,leg_bear|regime_distribution_warning|has_continuation_sibling,bear-buy-legitimo-vs-trap|topo/range/chop|continuacao-estrutural|preservar-monumentais,47,31,bear:14 topo:5 continuacao:8 preservar:4,6,1,9,1,9,1,0,0
