bar_idx,episode_id,datetime,sl_atr,realR,exitype,is_winner_gt,is_loser_gt,sim_dist_to_winners,sim_dist_to_losers,closer_to_DIAG
6819,,2024-05-30 10:00,3.59,-1.1,STOP_LOSS,0,0,8.51,19.34,WINNERS
6832,,2024-06-03 14:00,3.34,-1.1,STOP_LOSS,0,0,9.46,20.16,WINNERS
6844,,2024-06-05 14:00,3.05,-1.1,STOP_LOSS,0,0,7.59,18.24,WINNERS
6887,,2024-06-14 18:00,3.0,-1.1,STOP_LOSS,0,0,1.68,12.6,WINNERS
6908,,2024-06-20 06:00,3.14,-1.1,STOP_LOSS,0,0,6.1,12.03,WINNERS
6923,,2024-06-24 18:00,1.62,-1.1,STOP_LOSS,0,0,1.31,12.16,WINNERS
6954,,2024-07-01 22:00,1.92,3.9,WIN_RUNNER,0,0,4.33,8.38,WINNERS
6962,,2024-07-03 06:00,2.86,3.16,WIN_HELD,0,0,8.75,3.0,LOSERS
6977,,2024-07-05 18:00,4.53,-1.1,STOP_LOSS,0,0,20.54,9.79,LOSERS
6992,,2024-07-10 06:00,2.3,1.78,WIN_HELD,0,0,11.83,2.2,LOSERS
7022,,2024-07-17 06:00,6.38,-1.1,STOP_LOSS,0,0,21.84,11.16,LOSERS
7053,,2024-07-24 10:00,3.06,-1.1,STOP_LOSS,0,0,3.73,9.55,WINNERS
7065,,2024-07-26 10:00,1.92,0.9,WIN_BE,0,0,10.69,21.64,WINNERS
7094,,2024-08-02 06:00,5.72,-1.1,STOP_LOSS,0,0,15.68,5.68,LOSERS
7119,,2024-08-08 10:00,2.54,1.91,WIN_HELD,0,0,1.47,11.93,WINNERS
7129,,2024-08-12 02:00,1.79,0.9,WIN_BE,0,0,8.09,4.49,LOSERS
7149,,2024-08-15 10:00,0.58,3.9,WIN_RUNNER,0,0,9.26,2.54,LOSERS
7232,,2024-09-04 06:00,0.92,3.9,WIN_RUNNER,0,0,2.51,12.14,WINNERS
7253,,2024-09-09 18:00,1.86,3.61,WIN_HELD,0,0,3.27,8.7,WINNERS
7408,,2024-10-15 14:00,5.01,1.58,SCRATCH,0,0,10.0,3.42,LOSERS
7426,,2024-10-18 14:00,4.08,0.37,SCRATCH,0,0,20.7,10.05,LOSERS
7454,,2024-10-25 06:00,1.11,0.9,WIN_BE,0,0,11.23,1.75,LOSERS
7509,,2024-11-07 11:00,2.53,-1.1,STOP_LOSS,0,0,8.36,19.12,WINNERS
7549,,2024-11-18 03:00,1.98,1.5,WIN_HELD,0,0,12.2,23.26,WINNERS
7569,,2024-11-21 11:00,3.67,-1.1,STOP_LOSS,0,0,6.91,10.77,WINNERS
7577,,2024-11-22 19:00,7.23,-1.1,STOP_LOSS,0,0,16.75,8.26,LOSERS
7662,,2024-12-12 23:00,0.84,-1.1,STOP_LOSS,0,0,7.64,4.69,LOSERS
7710,,2024-12-26 03:00,4.22,1.21,SCRATCH,0,0,7.54,17.87,WINNERS
7731,,2024-12-31 15:00,2.71,2.05,WIN_HELD,0,0,7.8,18.7,WINNERS
7765,,2025-01-09 07:00,4.75,1.44,SCRATCH,0,0,19.17,8.99,LOSERS
7797,,2025-01-16 15:00,4.82,1.31,SCRATCH,0,0,17.96,7.03,LOSERS
7816,,2025-01-21 19:00,4.68,1.62,SCRATCH,0,0,20.14,9.23,LOSERS
7838,,2025-01-27 11:00,1.16,-1.1,STOP_LOSS,0,0,12.81,1.98,LOSERS
7869,,2025-02-03 15:00,4.72,0.89,SCRATCH,0,0,17.88,7.31,LOSERS
7902,,2025-02-11 03:00,3.75,0.17,SCRATCH,0,0,16.37,5.36,LOSERS
7924,,2025-02-14 19:00,0.3,3.9,WIN_BE,0,0,8.98,4.36,LOSERS
7933,,2025-02-18 07:00,2.53,-1.1,STOP_LOSS,0,0,14.35,4.05,LOSERS
7943,,2025-02-19 23:00,4.05,-1.1,STOP_LOSS,0,0,19.44,8.48,LOSERS
7993,,2025-03-04 07:00,4.7,1.16,SCRATCH,0,0,6.52,6.18,LOSERS
8080,,2025-03-24 18:00,1.02,3.9,WIN_RUNNER,0,0,10.88,3.46,LOSERS
8095,,2025-03-27 06:00,2.34,0.9,WIN_BE,0,0,16.15,5.86,LOSERS
