b,dt,conv,regime,rm_conv,rm_bear,rm_blr,mfe,realR,winner,runner,snap,sweep,snap_sweep,dist_dem,dem_origin,near_dem,low_rng,macro_floor,floor_sweep
5668,2023-08-31,2,TRANSITION,0,0,0,0.26,-1.1,0,0,0,0,0,,0,0,0,0,0
5701,2023-09-07,1,BEAR,1,1,0,0.42,-1.1,0,0,1,0,0,2.16,1,0,0,1,0
5724,2023-09-13,1,BEAR,1,1,0,1.53,0.9,1,0,0,1,0,4.73,0,0,0,0,0
5772,2023-09-25,1,BEAR,1,1,0,0.74,-1.1,0,0,0,0,0,3.31,0,0,0,0,0
5826,2023-10-06,2,BEAR,0,1,0,16.73,3.9,1,1,1,1,1,2.62,0,0,0,0,0
5842,2023-10-11,2,TRANSITION,0,0,0,13.52,3.9,1,1,1,0,0,2.84,1,0,0,1,0
5866,2023-10-17,3,BULL,0,0,0,5.11,2.7,1,0,1,0,0,1.85,1,0,0,1,0
5875,2023-10-18,2,BULL,0,0,0,4.33,0.93,1,0,0,0,0,3.48,0,0,0,0,0
5920,2023-10-30,3,BULL,0,0,0,0.38,-1.1,0,0,1,0,0,2.21,1,0,0,1,0
5955,2023-11-07,2,TRANSITION,0,0,0,0.0,-1.1,0,0,0,0,0,1.94,1,0,0,1,0
5998,2023-11-16,2,BULL,0,0,0,1.04,2.0,1,0,1,0,0,2.77,1,0,0,1,0
6049,2023-11-29,2,BULL,0,0,0,0.39,0.9,1,0,0,0,0,3.94,0,0,0,0,0
6069,2023-12-04,2,BULL,0,0,0,0.0,-1.1,0,0,0,0,0,0.93,1,1,0,1,0
6119,2023-12-14,2,BULL,0,0,0,0.62,0.31,1,0,1,0,0,5.26,0,0,0,0,0
6162,2023-12-26,2,BULL,0,0,0,1.98,-1.1,0,0,0,0,0,,0,0,0,0,0
6193,2024-01-04,3,TRANSITION,0,0,0,0.24,-1.1,0,0,1,0,0,1.93,1,0,0,1,0
6210,2024-01-08,2,TRANSITION,0,0,0,0.52,-1.1,0,0,1,0,0,0.98,1,1,0,1,0
6295,2024-01-29,2,TRANSITION,0,0,0,3.66,-0.32,0,0,1,0,0,2.91,1,0,0,1,0
6362,2024-02-13,2,TRANSITION,0,0,0,0.0,-1.1,0,0,1,0,0,2.35,1,0,0,1,0
6376,2024-02-15,2,TRANSITION,0,0,0,14.79,1.89,1,1,1,0,0,2.36,1,0,0,1,0
6453,2024-03-05,3,BULL,0,0,0,8.02,0.13,1,0,1,0,0,6.7,0,0,0,0,0
6471,2024-03-08,3,BULL,0,0,0,1.28,0.05,1,0,1,0,0,3.72,0,0,0,0,0
6489,2024-03-13,3,BULL,0,0,0,1.0,-1.1,0,0,1,0,0,1.67,1,0,0,1,0
6523,2024-03-21,2,BULL,0,0,0,0.43,1.17,1,0,1,0,0,5.53,0,0,0,0,0
6597,2024-04-09,3,BULL,0,0,0,0.32,-1.1,0,0,1,0,0,1.98,1,0,0,1,0
6610,2024-04-11,3,BULL,0,0,0,2.93,-1.1,0,0,1,0,0,2.16,1,0,0,1,0
6711,2024-05-06,2,BULL,0,0,0,0.12,1.78,1,0,1,0,0,3.26,0,0,0,0,0
6729,2024-05-09,3,BULL,0,0,0,7.44,1.69,1,0,1,0,0,1.84,1,0,0,1,0
6741,2024-05-13,2,TRANSITION,0,0,0,0.0,0.9,1,0,0,0,0,2.71,1,0,0,1,0
6767,2024-05-17,3,BULL,0,0,0,1.87,-1.1,0,0,1,0,0,3.43,0,0,0,0,0
6791,2024-05-23,3,TRANSITION,0,0,0,7.63,1.91,1,0,0,1,0,1.41,1,0,0,1,1
6819,2024-05-30,3,BULL,0,0,0,0.61,-1.1,0,0,1,1,1,3.49,0,0,0,0,0
6832,2024-06-03,3,TRANSITION,0,0,0,0.23,-1.1,0,0,1,1,1,3.24,0,0,0,0,0
6844,2024-06-05,3,TRANSITION,0,0,0,1.62,-1.1,0,0,1,0,0,2.95,1,0,0,1,0
6887,2024-06-14,2,TRANSITION,0,0,0,0.0,-1.1,0,0,0,0,0,2.9,1,0,0,1,0
6908,2024-06-20,2,BULL,0,0,0,2.88,-1.1,0,0,0,0,0,,0,0,0,0,0
6923,2024-06-24,3,TRANSITION,0,0,0,0.15,-1.1,0,0,1,0,0,1.52,0,0,0,0,0
6954,2024-07-01,3,TRANSITION,0,0,0,0.02,3.9,1,0,1,0,0,1.82,0,0,0,0,0
6962,2024-07-03,3,BULL,0,0,0,9.19,3.16,1,0,1,0,0,2.76,1,0,0,1,0
6977,2024-07-05,4,BULL,0,0,0,0.01,-1.1,0,0,1,1,1,4.43,0,0,0,0,0
6992,2024-07-10,3,BULL,0,0,0,7.24,1.78,1,0,1,0,0,2.2,1,0,0,1,0
7022,2024-07-17,3,BULL,0,0,0,0.41,-1.1,0,0,1,0,0,6.28,0,0,0,0,0
7053,2024-07-24,3,BULL,0,0,0,0.6,-1.1,0,0,1,0,0,2.96,0,0,0,0,0
7065,2024-07-26,2,BULL,0,0,0,6.42,0.9,1,0,1,0,0,1.82,1,0,0,1,0
7094,2024-08-02,2,BULL,0,0,0,0.55,-1.1,0,0,0,0,0,5.62,0,0,0,0,0
7119,2024-08-08,2,BULL,0,0,0,5.44,1.91,1,0,1,0,0,2.44,1,0,0,1,0
7129,2024-08-12,3,BULL,0,0,0,6.15,0.9,1,0,1,0,0,1.69,1,0,0,1,0
7149,2024-08-15,3,TRANSITION,0,0,0,7.73,3.9,1,0,0,1,0,1.5,0,0,0,0,0
7232,2024-09-04,3,BULL,0,0,0,18.67,3.9,1,1,0,1,0,4.79,0,0,0,0,0
7253,2024-09-09,3,TRANSITION,0,0,0,9.88,3.61,1,0,1,0,0,1.76,1,0,0,1,0
7408,2024-10-15,3,BULL,0,0,0,6.69,1.58,1,0,1,0,0,4.91,0,0,0,0,0
7426,2024-10-18,3,BULL,0,0,0,4.61,0.37,1,0,1,0,0,3.98,0,0,0,0,0
7454,2024-10-25,2,BULL,0,0,0,12.45,0.9,1,1,0,0,0,1.01,0,0,0,0,0
7509,2024-11-07,2,BULL,0,0,0,0.56,-1.1,0,0,1,0,0,2.43,0,0,0,0,0
7549,2024-11-18,2,TRANSITION,0,0,0,5.53,1.5,1,0,1,0,0,1.88,1,0,0,1,0
7569,2024-11-21,3,BULL,0,0,0,2.88,-1.1,0,0,1,0,0,3.57,0,0,0,0,0
7577,2024-11-22,3,BULL,0,0,0,0.0,-1.1,0,0,1,0,0,7.13,0,0,0,0,0
7662,2024-12-12,4,BULL,0,0,0,0.35,-1.1,0,0,1,1,1,4.79,0,0,0,0,0
7710,2024-12-26,3,TRANSITION,0,0,0,0.93,1.21,1,0,1,0,0,4.12,0,0,0,0,0
7731,2024-12-31,2,TRANSITION,0,0,0,9.69,2.05,1,0,1,0,0,2.61,1,0,0,1,0
7765,2025-01-09,3,BULL,0,0,0,12.54,1.44,1,1,1,0,0,4.65,0,0,0,0,0
7797,2025-01-16,2,BULL,0,0,0,0.12,1.31,1,0,0,0,0,4.72,0,0,0,0,0
7816,2025-01-21,3,BULL,0,0,0,10.94,1.62,1,1,1,0,0,4.58,0,0,0,0,0
7838,2025-01-27,2,BULL,0,0,0,0.0,-1.1,0,0,0,0,0,1.06,0,0,0,0,0
7869,2025-02-03,3,BULL,0,0,0,5.47,0.89,1,0,1,0,0,4.62,0,0,0,0,0
7902,2025-02-11,2,BULL,0,0,0,0.02,0.17,1,0,0,0,0,3.65,0,0,0,0,0
7924,2025-02-14,2,BULL,0,0,0,9.59,3.9,1,0,0,0,0,1.27,1,0,0,1,0
7933,2025-02-18,3,BULL,0,0,0,2.16,-1.1,0,0,1,0,0,2.43,1,0,0,1,0
7943,2025-02-19,3,BULL,0,0,0,0.75,-1.1,0,0,1,0,0,3.95,0,0,0,0,0
7993,2025-03-04,2,BULL,0,0,0,0.58,1.16,1,0,1,0,0,4.6,0,0,0,0,0
8080,2025-03-24,2,BULL,0,0,0,14.4,3.9,1,1,0,0,0,,0,0,0,0,0
8095,2025-03-27,2,BULL,0,0,0,6.84,0.9,1,0,1,0,0,2.24,1,0,0,1,0
8111,2025-03-31,3,BULL,0,0,0,0.53,-1.1,0,0,1,0,0,8.05,0,0,0,0,0
8133,2025-04-04,2,TRANSITION,0,0,0,1.12,-1.1,0,0,0,0,0,0.75,0,1,0,1,0
8149,2025-04-09,2,BULL,0,0,0,9.46,2.48,1,0,1,0,0,2.76,0,0,0,0,0
8157,2025-04-10,3,BULL,0,0,0,6.41,0.57,1,0,1,0,0,5.49,0,0,0,0,0
8200,2025-04-22,2,BULL,0,0,0,0.0,-1.1,0,0,0,0,0,,0,0,0,0,0
8216,2025-04-25,2,TRANSITION,0,0,0,3.61,0.9,1,0,0,0,0,0.51,0,1,0,1,0
8236,2025-04-30,3,BULL,0,0,0,0.0,-1.1,0,0,0,1,0,3.55,0,0,0,0,0
8277,2025-05-09,3,BULL,0,0,0,0.04,-1.1,0,0,1,0,0,3.23,0,0,0,0,0
8338,2025-05-23,3,BULL,0,0,0,0.0,-1.1,0,0,1,0,0,3.44,0,0,0,0,0
8357,2025-05-28,3,BULL,0,0,0,9.15,1.78,1,0,0,1,0,2.55,1,0,0,1,1
8371,2025-06-02,2,BULL,0,0,0,1.62,0.51,1,0,1,0,0,,0,0,0,0,0
8403,2025-06-09,3,BULL,0,0,0,3.63,0.66,1,0,1,0,0,2.89,1,0,0,1,0
8431,2025-06-16,2,TRANSITION,0,0,0,0.0,-1.1,0,0,0,0,0,3.89,0,0,0,0,0
8460,2025-06-23,1,BULL,1,0,0,1.97,-1.1,0,0,0,0,0,5.96,0,0,0,0,0
8479,2025-06-26,2,BULL,0,0,0,0.0,-1.1,0,0,1,0,0,1.63,1,0,0,1,0
8497,2025-07-01,2,BULL,0,0,0,0.63,-0.09,0,0,1,0,0,4.71,0,0,0,0,0
8544,2025-07-11,2,BULL,0,0,0,1.83,1.01,1,0,1,0,0,2.12,1,0,0,1,0
8589,2025-07-22,3,BULL,0,0,0,0.32,-1.1,0,0,1,0,0,5.76,0,0,0,0,0
8622,2025-07-30,2,TRANSITION,0,0,0,0.0,-1.1,0,0,1,0,0,3.28,0,0,0,0,0
8635,2025-08-01,2,BULL,0,0,0,2.76,-0.19,0,0,1,0,0,3.53,0,0,0,0,0
8659,2025-08-07,3,BULL,0,0,0,1.07,-1.1,0,0,1,0,0,1.71,1,0,0,1,0
8765,2025-09-02,3,BULL,0,0,0,15.28,1.95,1,1,1,0,0,5.4,0,0,0,0,0
8823,2025-09-15,3,BULL,0,0,0,1.05,2.05,1,0,1,0,0,4.29,0,0,0,0,0
8858,2025-09-23,3,BULL,0,0,0,0.13,1.24,1,0,1,0,0,7.38,0,0,0,0,0
8878,2025-09-28,3,BULL,0,0,0,18.78,3.24,1,1,1,0,0,2.64,1,0,0,1,0
8893,2025-10-01,3,BULL,0,0,0,0.57,2.83,1,0,1,0,0,2.86,0,0,0,0,0
8905,2025-10-03,3,BULL,0,0,0,13.77,3.9,1,1,1,0,0,2.63,1,0,0,1,0
