bar_idx,datetime,f1_swept_low_reclaim,f1_sweep_depth_atr,f1_bars_since_sweep,f1_swept_high_reject,f2_flush_state,f2_drop_atr,f2_velocity_atr_bar,f2_range_expansion,f2_consec_down,f2_flush_bars,f3_acceptance_state,f3_closes_above_res,f3_rejections_at_res,f3_breaks_support,f4_structure_state,f4_BOS,f4_CHoCH,f4_n_pivots,f6_svp_state,f6_above_value,f6_below_value,f6_dist_poc_atr,f5_range_pos_4h,f5_range_pct_4h,f5_range_pos_1d,f5_range_pct_1d,f7_regime_traj,f7_combined_slope,f7_cascade_now,f7_distribution_onset,f7_macro_broken_recent
4429,2022-11-10,0,0.0,-1,0,MIXED_DECLINE,1.59,1.59,0.51,0,1,ACCEPTED_ABOVE_RES,3,0,5,STRUCTURE_UP,1,0,911,ACCEPTING_ABOVE_VALUE,8,3,3.83,PREMIUM,0.98,PREMIUM,1.0,REGIME_IMPROVING,0.667,3.0,0,0
4483,2022-11-23,1,0.71,2,1,MIXED_DECLINE,2.79,0.46,1.21,0,6,REJECTED_AT_RES,1,2,0,STRUCTURE_DOWN,0,0,921,ACCEPTING_ABOVE_VALUE,5,7,0.68,PREMIUM,0.85,PREMIUM,0.78,REGIME_STABLE_BULL,0.0,2.0,0,1
4513,2022-11-30,0,0.0,-1,1,MIXED_DECLINE,1.61,0.2,1.03,0,8,ACCEPTED_ABOVE_RES,4,3,0,STRUCTURE_RANGE,1,0,927,ACCEPTING_ABOVE_VALUE,8,3,0.58,PREMIUM,0.84,PREMIUM,0.92,REGIME_IMPROVING,0.333,3.0,0,0
4530,2022-12-05,0,0.0,-1,0,MIXED_DECLINE,4.29,1.07,1.02,0,4,BROKE_SUPPORT,0,0,5,STRUCTURE_UP,0,1,931,BELOW_VALUE_REJECTED,7,4,-2.68,DISCOUNT,0.21,PREMIUM,0.72,REGIME_STABLE_BULL,-0.167,2.0,0,0
4574,2022-12-15,0,0.0,-1,0,MIXED_DECLINE,3.63,0.0,0.0,0,0,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,937,IN_VALUE,5,5,0.13,EQUILIBRIUM,0.38,PREMIUM,0.7,REGIME_IMPROVING,0.333,3.0,0,0
4609,2022-12-22,0,0.0,-1,0,FLUSH_V,4.89,0.81,1.35,0,6,BROKE_SUPPORT,0,0,7,STRUCTURE_UP,0,1,945,ACCEPTING_ABOVE_VALUE,6,5,0.02,DISCOUNT,0.21,EQUILIBRIUM,0.63,REGIME_STABLE_BULL,0.167,3.0,0,0
4644,2023-01-03,0,0.0,-1,0,FLUSH_V,2.29,1.14,2.16,0,2,BROKE_SUPPORT,0,0,4,STRUCTURE_UP,0,0,951,IN_VALUE,6,2,0.11,PREMIUM,0.78,PREMIUM,0.88,REGIME_IMPROVING,0.333,3.0,0,0
4677,2023-01-11,0,0.0,-1,1,MIXED_DECLINE,1.79,0.6,0.74,0,3,BROKE_SUPPORT,1,1,3,STRUCTURE_UP,1,0,956,IN_VALUE,8,4,0.5,PREMIUM,0.97,PREMIUM,0.98,REGIME_STABLE_BULL,0.0,3.0,0,0
4763,2023-01-31,1,1.83,1,0,MIXED_DECLINE,3.1,0.39,1.23,0,8,REJECTED_AT_RES,0,3,2,STRUCTURE_RANGE,0,0,979,IN_VALUE,3,4,0.59,PREMIUM,0.84,PREMIUM,0.84,REGIME_STABLE_BULL,-0.167,2.0,0,0
4899,2023-03-03,0,0.0,-1,0,MIXED_DECLINE,2.19,0.44,0.75,0,5,BROKE_SUPPORT,1,0,5,STRUCTURE_UP,1,0,1010,ACCEPTING_ABOVE_VALUE,8,2,0.56,PREMIUM,0.98,EQUILIBRIUM,0.37,REGIME_NEUTRAL,0.0,0.0,0,0
