bar_idx,datetime,mfe_R,policy,leg,bottleneck
8622,2025-07-30,0.0,SKIP,MACRO_BULL_LEG,RESIDUAL
8635,2025-08-01,2.76,REVIEW,MACRO_BULL_LEG,EXIT_ONLY
8659,2025-08-07,1.07,TAKE,MACRO_TRANSITION,READING_ONLY
8765,2025-09-02,15.28,REVIEW_RISK,MACRO_RANGE,READING_ONLY
8823,2025-09-15,1.05,TAKE,MACRO_BULL_LEG,READING_ONLY
8858,2025-09-23,0.13,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
8878,2025-09-28,18.78,TAKE,MACRO_BULL_LEG,EXIT_ONLY
8893,2025-10-01,0.57,TAKE,MACRO_BULL_LEG,READING_ONLY
8905,2025-10-03,13.77,TAKE,MACRO_BULL_LEG,EXIT_ONLY
8923,2025-10-08,0.58,TAKE,MACRO_BULL_LEG,READING_ONLY
8940,2025-10-13,4.96,TAKE,MACRO_BULL_LEG,EXIT_ONLY
8966,2025-10-17,4.03,SKIP,MACRO_BULL_LEG,EXIT_ONLY
8978,2025-10-21,0.55,SKIP,MACRO_BULL_LEG,RESIDUAL
9007,2025-10-28,5.38,TAKE,MACRO_BULL_LEG,EXIT_ONLY
9081,2025-11-13,1.35,TAKE,MACRO_RANGE,READING_ONLY
9105,2025-11-19,0.0,SKIP,MACRO_BULL_LEG,RESIDUAL
9199,2025-12-11,11.05,TAKE,MACRO_RANGE,EXIT_ONLY
9215,2025-12-16,17.05,REVIEW_RISK,MACRO_RANGE,READING_ONLY
9243,2025-12-22,2.79,REVIEW_RISK,MACRO_BULL_LEG,EXIT_ONLY
9256,2025-12-26,0.72,TAKE,MACRO_BULL_LEG,READING_ONLY
9287,2026-01-05,18.9,TAKE,MACRO_BULL_LEG,EXIT_ONLY
9297,2026-01-06,0.15,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
9304,2026-01-08,0.3,TAKE,MACRO_BULL_LEG,SUPPLY_CONTEXT
9314,2026-01-09,24.93,TAKE,MACRO_BULL_LEG,EXIT_ONLY
9329,2026-01-14,0.21,TAKE,MACRO_BULL_LEG,READING_ONLY
9345,2026-01-18,17.14,TAKE,MACRO_BULL_LEG,EXIT_ONLY
9368,2026-01-22,8.17,TAKE,MACRO_BULL_LEG,EXIT_ONLY
9390,2026-01-28,3.81,REVIEW_RISK,MACRO_BULL_LEG,EXIT_ONLY
9432,2026-02-06,2.83,SKIP,MACRO_TRANSITION,EXIT_ONLY
9492,2026-02-20,0.0,REVIEW_RISK,MACRO_CORRECTIVE_PULLBACK,RESIDUAL
