bar_idx,datetime,decision_v3,decision_fixed,changed,leg,macro_broken,combined,realR
6295,2024-01-29 03:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,False,0,-0.32
6362,2024-02-13 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,-1,-1.1
6376,2024-02-15 15:00,BLOCK_BEAR_MARKDOWN,ALLOW,YES,MACRO_BULL_LEG,True,-1,1.89
6453,2024-03-05 11:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,3,0.13
6471,2024-03-08 11:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,3,0.05
6489,2024-03-13 10:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,False,1,-1.1
6523,2024-03-21 02:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,2,1.17
6597,2024-04-09 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
6610,2024-04-11 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
6711,2024-05-06 10:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,1,1.78
6729,2024-05-09 10:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,1,1.69
6741,2024-05-13 10:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,False,3,0.9
6767,2024-05-17 18:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,2,-1.1
6791,2024-05-23 18:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,False,1,1.91
6819,2024-05-30 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
6832,2024-06-03 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
6844,2024-06-05 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,0,-1.1
6887,2024-06-14 18:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_BEAR_LEG,False,-1,-1.1
6908,2024-06-20 06:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,1,-1.1
6923,2024-06-24 18:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,False,1,-1.1
6954,2024-07-01 22:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,1,3.9
6962,2024-07-03 06:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,0,3.16
6977,2024-07-05 18:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
6992,2024-07-10 06:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,1,1.78
7022,2024-07-17 06:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
7053,2024-07-24 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
7065,2024-07-26 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,0,0.9
7094,2024-08-02 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
