bar_idx,datetime,context,engine_policy,indicator_score,indicator_confluence,bubbles,nas,smc,rsi,crossed_policy,EVAL_exitype,EVAL_realR
3011,2021-12-13,NEUTRAL,REVIEW,0,NEUTRAL,BUBBLE_NEUTRAL,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_NEUTRAL,STOP_LOSS,-1.1
3029,2021-12-16,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_MIXED,NAS_LONG_RECENT,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,SCRATCH,0.59
3070,2021-12-28,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3085,2021-12-30,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3102,2022-01-04,TOP,SKIP,0,NEUTRAL,BUBBLE_BUY_LATE,NAS_NEUTRAL,SMC_BOS_LATE,RSI_NO_DIV,SKIP_NEUTRAL,STOP_LOSS,-1.1
3118,2022-01-07,BOTTOM,SKIP,2,STRONG_BULL_CONFIRM,BUBBLE_SELL_CLIMAX_BULL,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,UPGRADE_TAKE,SCRATCH,0.99
3126,2022-01-10,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,2.02
3147,2022-01-14,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3162,2022-01-18,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3178,2022-01-21,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3190,2022-01-25,PULLBACK,REVIEW_RISK,0,NEUTRAL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,STOP_LOSS,-1.1
3219,2022-02-01,BOTTOM,SKIP,2,STRONG_BULL_CONFIRM,BUBBLE_SELL_CLIMAX_BULL,NAS_LONG_RECENT,SMC_NONE,RSI_NO_DIV,UPGRADE_TAKE,WIN_HELD,2.66
3238,2022-02-04,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_BULL_DIV,TAKE_CONFIRMED,WIN_HELD,2.41
3252,2022-02-08,PULLBACK,REVIEW_RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK_BULL,WIN_HELD,1.84
3326,2022-02-24,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3443,2022-03-24,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_BULL_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
3474,2022-03-31,PULLBACK,REVIEW_RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK_BULL,SCRATCH,0.38
3491,2022-04-05,PULLBACK,TAKE,0,NEUTRAL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_NEUTRAL,WIN_BE,0.9
3509,2022-04-08,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,WIN_BE,0.9
3622,2022-05-06,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3678,2022-05-19,NEUTRAL,REVIEW,1,WEAK_BULL,BUBBLE_NEUTRAL,NAS_LONG_RECENT,SMC_NONE,RSI_NO_DIV,REVIEW_WEAK_BULL,SCRATCH,0.66
3773,2022-06-10,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3799,2022-06-16,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3825,2022-06-23,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_LATE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3836,2022-06-26,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_LATE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3929,2022-07-18,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
3949,2022-07-21,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,3.54
4095,2022-08-25,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
4243,2022-09-28,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,0.18
4309,2022-10-13,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_LATE,RSI_NO_DIV,SKIP_CONFIRMED,STOP_LOSS,-1.1
4346,2022-10-23,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,0.4
4372,2022-10-28,NEUTRAL,REVIEW,0,NEUTRAL,BUBBLE_NEUTRAL,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_NEUTRAL,STOP_LOSS,-1.1
4384,2022-11-01,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_CHOCH_TOP_REVERSAL,RSI_NO_DIV,SKIP_CONFIRMED,WIN_HELD,2.75
4401,2022-11-04,TOP,SKIP,-2,STRONG_BEAR_CONFIRM,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_BOS_LATE,RSI_BEAR_DIV_TOP,SKIP_CONFIRMED,WIN_HELD,2.76
