bar_idx,datetime,risk_atr,capped_realR,capped_exitype,mfe_R,mae_R,mae_before_mfe,max_run_R,runner_bucket,runner_flag,monster_flag,hit2,hit3,hit5,hit8,hit10,time_to_2R,time_to_max,stop_before_2R,realized_letrun_60,realized_letrun_120,realized_vstair_60,realized_vstair_120
3622,2022-05-06,1.42,-1.1,STOP_LOSS,0.51,1.13,0.48,0.51,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
3678,2022-05-19,1.5,0.66,SCRATCH,2.19,1.1,0.87,2.19,R2_5,0,0,True,False,False,False,False,62,62,0,1.78,-1.0,1.78,0.0
3773,2022-06-10,1.31,-1.1,STOP_LOSS,4.85,1.1,0.51,4.85,R2_5,0,0,True,True,False,False,False,1,3,0,-1.0,-1.0,0.0,0.0
3799,2022-06-16,1.5,-1.1,STOP_LOSS,0.0,1.12,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
3825,2022-06-23,1.5,-1.1,STOP_LOSS,0.96,1.05,0.93,0.96,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
3836,2022-06-26,1.5,-1.1,STOP_LOSS,0.47,1.04,0.07,0.47,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
3929,2022-07-18,1.5,-1.1,STOP_LOSS,0.05,1.25,0.66,0.05,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
3949,2022-07-21,1.5,3.54,WIN_HELD,6.62,0.5,0.5,6.62,R5_10,1,0,True,True,True,False,False,27,82,0,5.38,2.96,5.38,2.96
4095,2022-08-25,1.5,-1.1,STOP_LOSS,0.79,1.25,0.35,0.79,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
4243,2022-09-28,1.5,0.18,SCRATCH,0.0,1.02,0.39,0.0,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
4309,2022-10-13,1.5,-1.1,STOP_LOSS,0.3,1.35,0.84,0.3,R0_neg,0,0,False,False,False,False,False,,3,1,-1.0,-1.0,-1.0,-1.0
4346,2022-10-23,1.5,0.4,SCRATCH,1.32,1.12,0.96,1.32,R0_neg,0,0,False,False,False,False,False,,14,1,-1.0,-1.0,-1.0,-1.0
4372,2022-10-28,0.45,-1.1,STOP_LOSS,0.0,2.35,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
4384,2022-11-01,1.5,2.75,WIN_HELD,0.69,1.3,0.68,0.69,R0_neg,0,0,False,False,False,False,False,,7,1,-1.0,-1.0,-1.0,-1.0
4401,2022-11-04,1.5,2.76,WIN_HELD,10.31,0.38,0.38,10.31,R10p,1,1,True,True,True,True,True,4,118,0,7.65,10.04,7.65,10.04
4429,2022-11-10,1.5,-0.11,SCRATCH,1.64,1.21,0.43,1.64,R0_neg,0,0,False,False,False,False,False,,16,1,-1.0,-1.0,-1.0,-1.0
4483,2022-11-23,1.5,1.82,WIN_HELD,6.01,0.8,0.8,6.01,R5_10,1,0,True,True,True,False,False,30,81,0,2.6,5.51,2.6,2.0
4513,2022-11-30,1.5,0.49,SCRATCH,4.54,0.58,0.58,4.54,R2_5,0,0,True,True,False,False,False,3,106,0,1.55,3.38,0.0,0.0
4530,2022-12-05,0.37,1.28,WIN_HELD,25.14,0.36,0.36,25.14,R10p,1,1,True,True,True,True,True,4,117,0,4.94,22.4,0.0,0.0
4574,2022-12-15,0.66,-1.1,STOP_LOSS,0.0,3.12,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
4609,2022-12-22,1.12,3.9,WIN_RUNNER,16.21,0.19,0.19,16.21,R10p,1,1,True,True,True,True,True,9,110,0,8.95,15.9,5.0,5.0
4644,2023-01-03,1.5,2.17,WIN_HELD,7.45,0.98,0.98,7.45,R5_10,1,0,True,True,True,False,False,17,97,0,4.69,6.02,4.69,6.02
4677,2023-01-11,1.5,2.05,WIN_HELD,0.0,1.23,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
4763,2023-01-31,1.5,-1.1,STOP_LOSS,1.86,1.08,0.54,1.86,R0_neg,0,0,False,False,False,False,False,,10,1,-1.0,-1.0,-1.0,-1.0
4899,2023-03-03,1.5,-1.1,STOP_LOSS,1.14,1.7,0.79,1.14,R0_neg,0,0,False,False,False,False,False,,6,1,-1.0,-1.0,-1.0,-1.0
4908,2023-03-06,0.34,-1.1,STOP_LOSS,0.0,1.19,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
4918,2023-03-08,1.5,3.9,WIN_RUNNER,19.79,0.8,0.8,19.79,R10p,1,1,True,True,True,True,True,12,120,0,11.45,18.9,12.0,12.0
4926,2023-03-09,1.5,3.9,WIN_RUNNER,18.03,0.27,0.27,18.03,R10p,1,1,True,True,True,True,True,4,112,0,14.6,15.79,12.0,12.0
4964,2023-03-20,1.5,-0.43,SCRATCH,0.98,1.01,0.28,0.98,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
4996,2023-03-27,0.51,2.51,WIN_HELD,15.38,0.52,0.52,15.38,R10p,1,1,True,True,True,True,True,3,73,0,8.07,5.56,0.0,0.0
5016,2023-03-30,1.5,-1.1,STOP_LOSS,0.53,1.67,0.5,0.53,R0_neg,0,0,False,False,False,False,False,,4,1,-1.0,-1.0,-1.0,-1.0
5042,2023-04-06,0.87,-0.41,SCRATCH,0.55,1.71,0.44,0.55,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
5055,2023-04-11,1.5,-1.1,STOP_LOSS,2.78,1.47,0.56,2.78,R2_5,0,0,True,False,False,False,False,13,14,0,-1.0,-1.0,0.0,0.0
5087,2023-04-18,1.16,-1.1,STOP_LOSS,0.28,2.23,0.09,0.28,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
5103,2023-04-21,0.48,2.34,WIN_HELD,0.0,2.57,0.0,0.0,R0_neg,0,0,False,False,False,False,False,,0,1,-1.0,-1.0,-1.0,-1.0
5147,2023-05-02,1.5,-0.8,SCRATCH,4.02,1.63,0.33,4.02,R2_5,0,0,True,True,False,False,False,8,8,0,-1.0,-1.0,0.0,0.0
5165,2023-05-05,1.07,-1.1,STOP_LOSS,1.85,1.7,0.11,1.85,R0_neg,0,0,False,False,False,False,False,,17,1,-1.0,-1.0,-1.0,-1.0
5296,2023-06-06,1.3,-1.1,STOP_LOSS,1.15,1.44,0.2,1.15,R0_neg,0,0,False,False,False,False,False,,6,1,-1.0,-1.0,-1.0,-1.0
5321,2023-06-12,0.88,-1.1,STOP_LOSS,1.98,1.93,0.65,1.98,R0_neg,0,0,False,False,False,False,False,,5,1,-1.0,-1.0,-1.0,-1.0
5331,2023-06-14,1.43,-1.1,STOP_LOSS,0.74,1.52,0.46,0.74,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
5350,2023-06-19,0.61,-1.1,STOP_LOSS,0.29,1.37,0.49,0.29,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
5414,2023-07-04,1.5,-1.1,STOP_LOSS,1.21,2.23,0.3,1.21,R0_neg,0,0,False,False,False,False,False,,8,1,-1.0,-1.0,-1.0,-1.0
5435,2023-07-07,1.5,1.61,WIN_HELD,0.09,1.14,0.33,0.09,R0_neg,0,0,False,False,False,False,False,,2,1,-1.0,-1.0,-1.0,-1.0
5478,2023-07-18,1.5,-1.1,STOP_LOSS,0.77,1.2,0.8,0.77,R0_neg,0,0,False,False,False,False,False,,8,1,-1.0,-1.0,-1.0,-1.0
5530,2023-07-31,1.5,-1.1,STOP_LOSS,0.06,1.2,0.41,0.06,R0_neg,0,0,False,False,False,False,False,,1,1,-1.0,-1.0,-1.0,-1.0
