candidate_id,timestamp,label,gt_id,fragile,anatomy_class,supply_category,demand_category,mfe_atr_36,mae_atr_36
C7264,2024-09-11 14:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,8.13,0.47
C7265,2024-09-11 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_ORIGIN_OF_LEG,8.74,0.07
C7266,2024-09-11 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_ORIGIN_OF_LEG,9.16,0.24
C7267,2024-09-12 02:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_PRESENT_NEUTRAL,8.44,0.69
C7268,2024-09-12 06:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,9.61,0.61
C7271,2024-09-12 18:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,5.41,0.94
C7272,2024-09-12 22:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,5.23,1.36
C7295,2024-09-18 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,9.52,0.63
C7296,2024-09-18 22:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,9.9,-0.0
C7300,2024-09-19 14:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,5.77,0.35
C7302,2024-09-19 22:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,6.65,0.06
C7303,2024-09-20 02:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,6.12,0.02
C7408,2024-10-15 14:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_TOO_DEEP,7.52,0.39
C7410,2024-10-15 22:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,7.83,0.24
C7411,2024-10-16 02:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,7.7,0.26
C7426,2024-10-18 14:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,3.97,0.68
C7427,2024-10-18 18:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,3.5,1.32
C7432,2024-10-21 14:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,4.26,1.22
C7444,2024-10-23 14:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,5.33,0.34
C7445,2024-10-23 18:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,5.6,0.03
C7454,2024-10-25 06:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_PRESENT_NEUTRAL,5.46,0.32
C7461,2024-10-28 10:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,3.95,1.3
C7462,2024-10-28 14:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,3.83,1.53
C7463,2024-10-28 18:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FRESH_DANGEROUS,DEMAND_SUPPORTING_RETEST,4.18,1.53
C7466,2024-10-29 06:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_SUPPORTING_RETEST,3.17,4.28
C7549,2024-11-18 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,8.02,0.25
C7555,2024-11-19 03:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,6.98,1.44
C7558,2024-11-19 15:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,6.24,1.72
C7559,2024-11-19 19:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,6.39,1.93
C7562,2024-11-20 07:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,7.94,1.64
C7569,2024-11-21 11:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,4.32,4.6
C7596,2024-11-27 23:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_PRESENT_NEUTRAL,2.52,1.0
C7609,2024-12-02 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_PRESENT_NEUTRAL,3.86,0.97
C7630,2024-12-05 15:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,7.88,1.35
