idx,entry_ts,year,label,SL_ATR,bucket,structural_R,how,cap4_reject_kept,cap4_clamp_R
7509,2024-11-07 11:00,2024,UNKNOWN,2.53,LE4,-1.1,stop,kept,-1.1
7549,2024-11-18 03:00,2024,UNKNOWN,3.02,LE4,1.29,time,kept,1.29
7569,2024-11-21 11:00,2024,UNKNOWN,3.67,LE4,-1.1,stop,kept,-1.1
7577,2024-11-22 19:00,2024,UNKNOWN,7.23,GT4,-1.1,stop,REJECTED,-1.1
7662,2024-12-12 23:00,2024,UNKNOWN,4.89,GT4,-1.1,stop,REJECTED,-1.1
7710,2024-12-26 03:00,2024,UNKNOWN,1.98,LE4,-1.1,stop,kept,-1.1
7731,2024-12-31 15:00,2024,UNKNOWN,2.71,LE4,2.05,time,kept,2.05
7765,2025-01-09 07:00,2025,UNKNOWN,4.75,GT4,1.44,time,REJECTED,1.82
7797,2025-01-16 15:00,2025,UNKNOWN,5.08,GT4,1.24,time,REJECTED,1.6
7816,2025-01-21 19:00,2025,UNKNOWN,4.68,GT4,1.62,time,REJECTED,1.91
7838,2025-01-27 11:00,2025,UNKNOWN,1.16,LE4,-1.1,stop,kept,-1.1
7869,2025-02-03 15:00,2025,UNKNOWN,4.72,GT4,0.89,time,REJECTED,1.07
7902,2025-02-11 03:00,2025,UNKNOWN,4.76,GT4,0.11,time,REJECTED,0.15
7924,2025-02-14 19:00,2025,UNKNOWN,1.37,LE4,0.9,be,kept,0.9
7933,2025-02-18 07:00,2025,UNKNOWN,2.53,LE4,-1.1,stop,kept,-1.1
7943,2025-02-19 23:00,2025,UNKNOWN,5.25,GT4,-1.1,stop,REJECTED,-1.1
7993,2025-03-04 07:00,2025,UNKNOWN,4.7,GT4,1.16,time,REJECTED,1.38
8080,2025-03-24 18:00,2025,UNKNOWN,1.02,LE4,3.9,runner,kept,3.9
8095,2025-03-27 06:00,2025,UNKNOWN,3.11,LE4,0.9,be,kept,0.9
8111,2025-03-31 22:00,2025,UNKNOWN,7.39,GT4,-1.1,stop,REJECTED,-1.1
8133,2025-04-04 14:00,2025,UNKNOWN,0.49,LE4,-1.1,stop,kept,-1.1
8149,2025-04-09 06:00,2025,UNKNOWN,2.86,LE4,2.48,time,kept,2.48
8157,2025-04-10 14:00,2025,UNKNOWN,5.59,GT4,0.57,time,REJECTED,1.36
8200,2025-04-22 18:00,2025,UNKNOWN,2.65,LE4,-1.1,stop,kept,-1.1
8216,2025-04-25 10:00,2025,UNKNOWN,0.61,LE4,0.9,be,kept,0.9
8236,2025-04-30 18:00,2025,UNKNOWN,0.98,LE4,-1.1,stop,kept,-1.1
8277,2025-05-09 14:00,2025,UNKNOWN,3.9,LE4,-1.1,stop,kept,-1.1
8338,2025-05-23 18:00,2025,UNKNOWN,3.54,LE4,-1.1,stop,kept,-1.1
8357,2025-05-28 22:00,2025,UNKNOWN,2.65,LE4,1.78,time,kept,1.78
8371,2025-06-02 06:00,2025,UNKNOWN,4.64,GT4,0.51,time,REJECTED,0.6
8403,2025-06-09 14:00,2025,UNKNOWN,0.3,LE4,-1.1,stop,kept,-1.1
8431,2025-06-16 06:00,2025,UNKNOWN,4.73,GT4,-1.1,stop,REJECTED,-1.1
8460,2025-06-23 02:00,2025,UNKNOWN,1.0,LE4,-1.1,stop,kept,-1.1
8479,2025-06-26 06:00,2025,UNKNOWN,2.66,LE4,-1.1,stop,kept,-1.1
8497,2025-07-01 06:00,2025,UNKNOWN,4.81,GT4,-0.09,time,REJECTED,-0.09
8544,2025-07-11 06:00,2025,UNKNOWN,4.25,GT4,0.01,time,REJECTED,0.02
8589,2025-07-22 18:00,2025,UNKNOWN,8.21,GT4,-1.1,stop,REJECTED,-1.1
8622,2025-07-30 06:00,2025,UNKNOWN,2.1,LE4,-1.1,stop,kept,-1.1
8635,2025-08-01 10:00,2025,UNKNOWN,3.63,LE4,-0.19,time,kept,-0.19
8659,2025-08-07 10:00,2025,UNKNOWN,1.81,LE4,-1.1,stop,kept,-1.1
8765,2025-09-02 02:00,2025,UNKNOWN,5.5,GT4,1.95,time,REJECTED,2.34
8823,2025-09-15 18:00,2025,UNKNOWN,3.52,LE4,2.34,time,kept,2.34
8858,2025-09-23 14:00,2025,UNKNOWN,7.48,GT4,1.24,time,REJECTED,2.15
8878,2025-09-28 22:00,2025,UNKNOWN,2.96,LE4,3.06,time,kept,3.06
8893,2025-10-01 10:00,2025,UNKNOWN,2.96,LE4,2.83,time,kept,2.83
8905,2025-10-03 10:00,2025,UNKNOWN,2.73,LE4,3.9,runner,kept,3.9
8923,2025-10-08 10:00,2025,UNKNOWN,9.18,GT4,0.07,time,REJECTED,0.9
8940,2025-10-13 06:00,2025,UNKNOWN,3.34,LE4,0.9,be,kept,0.9
8966,2025-10-17 14:00,2025,UNKNOWN,5.42,GT4,-1.1,stop,REJECTED,-1.1
8978,2025-10-21 14:00,2025,UNKNOWN,2.65,LE4,-1.1,stop,kept,-1.1
9007,2025-10-28 10:00,2025,UNKNOWN,2.55,LE4,1.4,time,kept,1.4
9081,2025-11-13 19:00,2025,UNKNOWN,2.22,LE4,-1.1,stop,kept,-1.1
9105,2025-11-19 19:00,2025,UNKNOWN,2.2,LE4,1.64,time,kept,1.64
9199,2025-12-11 11:00,2025,UNKNOWN,2.6,LE4,3.3,time,kept,3.3
9215,2025-12-16 03:00,2025,UNKNOWN,1.08,LE4,3.9,runner,kept,3.9
9243,2025-12-22 19:00,2025,UNKNOWN,5.42,GT4,-1.1,stop,REJECTED,-1.1
9256,2025-12-26 03:00,2025,UNKNOWN,5.84,GT4,-1.1,stop,REJECTED,-1.1
9287,2026-01-05 07:00,2026,UNKNOWN,4.06,GT4,1.27,time,REJECTED,1.29
9297,2026-01-06 23:00,2026,UNKNOWN,6.11,GT4,1.67,time,REJECTED,2.25
9304,2026-01-08 03:00,2026,UNKNOWN,4.95,GT4,2.11,time,REJECTED,2.39
9314,2026-01-09 19:00,2026,UNKNOWN,3.63,LE4,3.16,time,kept,3.16
9329,2026-01-14 07:00,2026,UNKNOWN,7.21,GT4,2.29,time,REJECTED,3.41
9345,2026-01-18 23:00,2026,UNKNOWN,2.34,LE4,3.9,runner,kept,3.9
9368,2026-01-22 19:00,2026,UNKNOWN,3.45,LE4,0.9,be,kept,0.9
9390,2026-01-28 11:00,2026,UNKNOWN,5.53,GT4,-1.1,stop,REJECTED,-1.1
9432,2026-02-06 11:00,2026,UNKNOWN,5.02,GT4,0.09,time,REJECTED,0.14
9492,2026-02-20 11:00,2026,UNKNOWN,5.19,GT4,0.25,time,REJECTED,0.9
9504,2026-02-24 11:00,2026,UNKNOWN,5.52,GT4,0.16,time,REJECTED,0.27
9512,2026-02-25 19:00,2026,UNKNOWN,1.55,LE4,0.9,be,kept,0.9
9523,2026-02-27 15:00,2026,UNKNOWN,3.0,LE4,-1.1,stop,kept,-1.1
9530,2026-03-02 19:00,2026,UNKNOWN,3.72,LE4,-1.1,stop,kept,-1.1
9537,2026-03-03 23:00,2026,UNKNOWN,0.38,LE4,-1.1,stop,kept,-1.1
9582,2026-03-13 10:00,2026,UNKNOWN,2.1,LE4,-1.1,stop,kept,-1.1
9628,2026-03-25 02:00,2026,UNKNOWN,3.66,LE4,0.23,time,kept,0.23
9646,2026-03-30 02:00,2026,UNKNOWN,2.6,LE4,1.24,time,kept,1.24
9727,2026-04-17 14:00,2026,UNKNOWN,6.16,GT4,-1.1,stop,REJECTED,-1.1
9805,2026-05-06 14:00,2026,UNKNOWN,4.39,GT4,-1.1,stop,REJECTED,-1.1
