bar_idx,datetime,mfe_R,capped,vstair,letrun,edge_class
8095,2025-03-27,6.84,0.9,2.0,-1.0,RISK_SHAPING_EDGE
8111,2025-03-31,0.53,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8133,2025-04-04,1.12,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8149,2025-04-09,9.46,2.48,5.0,5.97,CONVEXITY_ALPHA
8157,2025-04-10,6.41,0.57,2.0,3.38,RISK_SHAPING_EDGE
8200,2025-04-22,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8216,2025-04-25,3.61,0.9,0.0,-1.0,BETA_ONLY
8236,2025-04-30,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8277,2025-05-09,0.04,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8338,2025-05-23,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8357,2025-05-28,9.15,1.78,2.0,3.24,RISK_SHAPING_EDGE
8371,2025-06-02,1.62,0.51,-1.0,-1.0,NO_EDGE_DETECTED
8403,2025-06-09,3.63,0.66,0.0,-1.0,BETA_ONLY
8431,2025-06-16,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8460,2025-06-23,1.97,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8479,2025-06-26,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8497,2025-07-01,0.63,-0.09,-1.0,-1.0,NO_EDGE_DETECTED
8544,2025-07-11,1.83,1.01,-1.0,-1.0,NO_EDGE_DETECTED
8589,2025-07-22,0.32,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8622,2025-07-30,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8635,2025-08-01,2.76,-0.19,0.0,2.74,EXIT_MANAGEMENT_EDGE
8659,2025-08-07,1.07,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
8765,2025-09-02,15.28,1.95,15.25,15.25,CONVEXITY_ALPHA
8823,2025-09-15,1.05,2.05,-1.0,-1.0,NO_EDGE_DETECTED
8858,2025-09-23,0.13,1.24,-1.0,-1.0,NO_EDGE_DETECTED
8878,2025-09-28,18.78,3.24,12.0,9.45,CONVEXITY_ALPHA
8893,2025-10-01,0.57,2.83,-1.0,-1.0,NO_EDGE_DETECTED
8905,2025-10-03,13.77,3.9,8.0,3.7,CONVEXITY_ALPHA
8923,2025-10-08,0.58,0.9,-1.0,-1.0,NO_EDGE_DETECTED
8940,2025-10-13,4.96,0.9,0.0,-1.0,BETA_ONLY
8966,2025-10-17,4.03,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
8978,2025-10-21,0.55,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
9007,2025-10-28,5.38,1.4,2.0,3.28,RISK_SHAPING_EDGE
9081,2025-11-13,1.35,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
9105,2025-11-19,0.0,1.64,-1.0,-1.0,NO_EDGE_DETECTED
9199,2025-12-11,11.05,3.9,5.0,10.52,CONVEXITY_ALPHA
9215,2025-12-16,17.05,3.9,8.0,15.93,CONVEXITY_ALPHA
9243,2025-12-22,2.79,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
9256,2025-12-26,0.72,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
9287,2026-01-05,18.9,1.64,12.0,4.38,CONVEXITY_ALPHA
9297,2026-01-06,0.15,1.97,-1.0,-1.0,NO_EDGE_DETECTED
9304,2026-01-08,0.3,2.45,-1.0,-1.0,NO_EDGE_DETECTED
9314,2026-01-09,24.93,3.16,16.0,-1.0,CONVEXITY_ALPHA
9329,2026-01-14,0.21,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
9345,2026-01-18,17.14,3.9,12.0,-1.0,CONVEXITY_ALPHA
9368,2026-01-22,8.17,0.9,5.0,-1.0,CONVEXITY_ALPHA
9390,2026-01-28,3.81,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
