n,out,fam,15M_atr_rel,15M_dem_below,15M_ema_trend,15M_nas_long,15M_nas_short,15M_px_vs_ema,15M_rsi,15M_rsi_slope,15M_smc_BOS,15M_smc_CHoCH,15M_smc_EQH,15M_smc_EQL,15M_sup_above,1D_atr_rel,1D_dem_below,1D_ema_trend,1D_nas_long,1D_nas_short,1D_px_vs_ema,1D_rsi,1D_rsi_slope,1D_smc_BOS,1D_smc_CHoCH,1D_smc_EQH,1D_smc_EQL,1D_sup_above,1H_atr_rel,1H_dem_below,1H_ema_trend,1H_nas_long,1H_nas_short,1H_px_vs_ema,1H_rsi,1H_rsi_slope,1H_smc_BOS,1H_smc_CHoCH,1H_smc_EQH,1H_smc_EQL,1H_sup_above,30M_atr_rel,30M_dem_below,30M_ema_trend,30M_nas_long,30M_nas_short,30M_px_vs_ema,30M_rsi,30M_rsi_slope,30M_smc_BOS,30M_smc_CHoCH,30M_smc_EQH,30M_smc_EQL,30M_sup_above,4H_atr_rel,4H_dem_below,4H_ema_trend,4H_nas_long,4H_nas_short,4H_px_vs_ema,4H_rsi,4H_rsi_slope,4H_smc_BOS,4H_smc_CHoCH,4H_smc_EQH,4H_smc_EQL,4H_sup_above,bub_buy_at_high,bub_buy_ml,bub_count,bub_net,bub_sell_absorbed_low,bub_sell_ml,mtf_bull_align,mtf_dem_conf,mtf_net_conf,mtf_sup_conf
63,1,WIN,,0.17,-2.616,0,0,1.075,43.3,5.669999999999995,0,2,0,0,0.51,0.0299,53.79,13.355,0,0,32.572,57.56,4.060000000000002,1,0,0,0,84.43,0.005,3.07,-0.733,0,0,-2.298,44.55,-5.970000000000006,0,1,0,0,3.79,0.003,3.07,-0.987,1,0,-0.852,46.39,-5.799999999999997,0,0,0,0,1.32,0.0102,6.33,6.286,0,2,5.869,59.46,-7.43,0,0,0,0,14.77,0,0,7,-12,1,12,2,1,0,1
64,0,MGMT,0.0018,0.02,-0.711,0,0,0.091,39.46,-1.6700000000000017,0,1,0,0,0.27,0.0299,31.69,6.99,0,0,20.585,57.56,4.060000000000002,1,0,0,0,40.66,0.0044,1.13,1.026,0,0,0.632,58.0,-4.009999999999998,0,0,0,0,1.6,0.0025,1.4,-0.024,0,0,0.16,48.13,-5.409999999999997,1,0,0,0,0.06,0.0093,6.27,2.606,0,2,4.912,62.7,-0.9199999999999946,0,0,0,0,4.2,1,4,10,2,0,2,3,2,0,2
65,0,C,0.0043,0.79,-0.589,2,0,0.385,37.6,2.219999999999999,0,1,0,0,0.88,0.0234,19.64,4.985,0,0,12.555,61.89,0.7899999999999991,1,0,0,0,10.39,0.0064,0.5,-0.303,0,8,-0.029,46.83,-22.010000000000005,1,1,0,0,2.1,0.0064,0.78,-1.102,0,1,-0.292,34.43,1.0399999999999991,0,1,0,0,1.33,0.0102,6.83,3.112,0,2,3.505,65.88,-10.900000000000006,1,0,0,0,10.87,0,0,0,0,0,0,2,3,2,1
66,0,D,0.0028,0.27,-0.386,0,0,0.304,42.3,1.8099999999999952,1,0,0,0,0.43,0.0292,18.33,6.92,0,0,5.178,52.53,-5.689999999999998,1,0,0,0,29.41,0.0059,0.5,-0.93,0,0,-1.098,41.19,-2.030000000000001,0,1,0,0,1.1,0.0049,0.1,-0.821,0,0,-0.318,44.6,1.8000000000000043,0,0,0,0,0.71,0.0181,1.55,-2.714,0,2,-3.741,44.83,3.4499999999999957,0,1,0,0,3.19,0,0,3,0,0,0,1,3,0,3
67,0,D,0.0016,0.56,-0.365,0,0,1.633,48.63,7.039999999999999,0,0,1,0,0.01,0.0273,19.16,3.402,0,0,12.21,55.84,1.4400000000000048,1,0,0,0,18.19,0.0047,3.41,0.999,0,2,2.808,54.17,-17.08,1,1,0,1,1.13,0.0031,2.98,-0.424,0,2,1.515,48.84,0.0800000000000054,0,0,0,1,0.01,0.0119,4.2,3.131,0,0,5.745,58.87,4.349999999999994,0,1,0,0,0.97,0,0,2,0,0,0,3,1,-3,4
68,0,D,0.0024,0.03,-0.71,1,0,0.031,33.18,-4.840000000000003,0,0,0,0,0.03,0.0282,3.13,2.277,0,0,-0.893,50.42,-4.799999999999997,1,0,0,0,23.68,0.0038,0.84,-1.137,2,0,-1.736,34.72,-9.009999999999998,1,0,0,0,0.05,0.0026,0.01,-0.942,1,0,-0.583,27.7,-10.45,0,0,0,0,0.04,0.0083,1.11,-1.686,0,0,-4.533,45.69,-7.600000000000001,0,1,0,0,0.19,2,10,16,-2,1,12,0,4,0,4
69,0,D,0.0023,0.0,-0.187,0,0,0.192,43.99,-2.9199999999999946,1,0,0,0,0.36,0.0272,11.45,0.275,0,0,-7.295,47.16,-8.680000000000007,0,0,0,0,6.94,0.004,0.05,-0.334,0,0,-0.356,45.2,-3.1599999999999966,0,1,1,0,0.22,0.0031,0.05,-0.468,0,0,-0.12,45.51,5.799999999999997,0,1,0,0,0.41,0.0094,1.01,-2.474,2,0,-3.841,41.43,1.7999999999999972,0,0,0,0,1.22,1,4,8,4,0,0,0,4,1,3
70,1,WIN,0.005,0.16,-0.514,0,0,0.193,42.01,-3.010000000000005,1,0,0,0,0.25,0.0392,2.45,-7.483,1,0,-24.001,27.45,-19.669999999999998,0,1,0,0,0.05,0.0143,0.03,-0.95,2,0,-1.224,43.84,-7.909999999999997,1,0,0,0,0.28,0.0087,0.11,-0.784,0,0,-0.471,41.54,-4.920000000000002,0,1,0,0,0.23,0.0285,1.41,-6.577,1,0,-8.822,33.68,21.35,1,1,0,0,0.04,0,0,5,0,0,0,0,3,-2,5
71,1,WIN,0.0043,0.01,-0.554,3,0,0.302,31.84,-9.879999999999999,1,1,0,1,0.08,0.0392,5.01,-11.362,2,0,-21.432,33.26,-0.39000000000000057,0,1,0,0,5.74,0.0086,0.05,-1.579,0,0,-1.855,37.01,-9.730000000000004,1,1,1,1,0.37,0.0065,0.13,-1.378,0,0,-0.553,34.04,3.879999999999999,2,0,0,2,0.26,0.0171,3.3,-1.604,2,0,-4.262,43.52,-3.5799999999999983,0,1,0,0,3.8,0,0,15,-13,1,13,0,3,0,3
72,1,WIN,0.0023,0.11,-0.659,0,0,0.164,42.09,5.170000000000002,0,1,0,0,0.09,0.0417,12.21,-24.031,2,0,-35.537,29.79,0.21999999999999886,0,1,0,0,8.84,0.006,0.53,-0.057,0,0,-0.132,44.86,-9.68,1,0,0,0,0.53,0.0036,0.03,-0.433,0,0,0.086,43.98,-6.990000000000002,1,0,0,0,0.54,0.0141,0.56,-3.653,1,0,-3.838,46.02,2.5,0,1,0,0,5.05,3,8,15,6,0,2,0,4,1,3
