strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.5R,63,6.52,0.1036,0.317,1.23,6,-5.73,-17.98,0.17,0.74
XPT_SWING_4H_pullback|DXY_bear|HTF1D+12H|tgt2.0R,39,6.46,0.1655,0.41,1.37,3,-3.29,-13.04,0.11,0.45
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D+12H|tgt2.5R,55,6.22,0.113,0.327,1.26,9,-6.03,-17.86,0.15,0.65
XPT_SWING_4H_pullback|DXY_below_ema200|HTF1D|tgt2.0R,46,6.07,0.1319,0.391,1.3,4,-3.68,-13.43,0.12,0.53
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D+12H|tgt4.0R,77,5.95,0.0772,0.286,1.16,9,-13.8,-26.47,0.21,0.9
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D|tgt2.5R,67,5.93,0.0885,0.328,1.2,9,-6.32,-18.57,0.18,0.79
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D+12H|tgt3.0R,79,5.89,0.0746,0.304,1.16,9,-8.86,-22.99,0.22,0.93
XPT_INTRA_1H_pullback|DXY_bear|HTF1D+HTF4H|tgt2.5R,45,5.87,0.1305,0.311,1.4,10,-6.38,-13.47,0.4,1.71
XPT_INTRA_1H_pullback|DXY_bear|HTF1D|tgt2.5R,45,5.87,0.1305,0.311,1.4,10,-6.38,-13.47,0.4,1.71
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D+12H|tgt2.5R,73,5.76,0.0789,0.315,1.18,8,-6.49,-18.74,0.2,0.86
XPT_SWING_4H_pullback|no_macro|HTF1D+12H|tgt4.0R,61,5.7,0.0934,0.311,1.19,7,-14.05,-23.6,0.16,0.71
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt4.0R,67,5.67,0.0847,0.328,1.19,7,-12.38,-20.97,0.18,0.78
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D|tgt4.0R,68,5.66,0.0833,0.279,1.17,9,-14.09,-26.57,0.19,0.8
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+12H|tgt2.0R,43,5.49,0.1278,0.372,1.31,5,-4.26,-13.54,0.12,0.51
XPT_SWING_4H_brk10_b50|no_macro|HTF1D+12H|tgt4.0R,114,5.42,0.0476,0.307,1.09,8,-14.33,-31.47,0.31,1.32
XPT_SWING_4H_pullback|DXY_bear|HTF1D|tgt2.0R,40,5.41,0.1351,0.4,1.29,3,-4.34,-14.09,0.11,0.46
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+12H|tgt2.5R,43,5.32,0.1237,0.349,1.3,5,-6.93,-15.16,0.12,0.51
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D|tgt2.5R,56,5.17,0.0923,0.321,1.21,9,-7.08,-18.91,0.15,0.66
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt2.5R,67,5.08,0.0758,0.358,1.17,7,-7.17,-18.22,0.18,0.78
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D+12H|tgt3.0R,75,4.9,0.0653,0.293,1.14,8,-9.85,-23.81,0.21,0.88
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt3.0R,67,4.75,0.0709,0.343,1.16,7,-10.0,-19.75,0.18,0.78
XPT_SWING_4H_pullback|no_macro|HTF1D|tgt4.0R,62,4.65,0.075,0.306,1.15,7,-15.1,-24.65,0.17,0.72
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+12H|tgt3.0R,43,4.61,0.1072,0.326,1.26,6,-9.43,-15.9,0.12,0.51
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt2.0R,44,4.44,0.101,0.364,1.24,5,-5.31,-14.59,0.12,0.52
XPT_INTRA_1H_pullback|DXY_bear|HTF1D|tgt2.0R,45,4.37,0.0972,0.333,1.3,6,-5.38,-12.75,0.4,1.71
XPT_INTRA_1H_pullback|DXY_bear|HTF1D+HTF4H|tgt2.0R,45,4.37,0.0972,0.333,1.3,6,-5.38,-12.75,0.4,1.71
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D+12H|tgt2.5R,82,4.29,0.0523,0.305,1.11,9,-7.96,-20.21,0.22,0.96
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt2.5R,44,4.27,0.097,0.341,1.23,5,-7.98,-16.21,0.12,0.52
XPT_INTRA_1H_pullback|DXY_bear|HTF1D+HTF4H|tgt4.0R,45,4.16,0.0924,0.289,1.29,10,-10.44,-14.17,0.4,1.71
XPT_INTRA_1H_pullback|DXY_bear|HTF1D|tgt4.0R,45,4.16,0.0924,0.289,1.29,10,-10.44,-14.17,0.4,1.71
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt2.5R,68,4.03,0.0592,0.353,1.13,7,-8.22,-19.27,0.18,0.79
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D+12H|tgt2.0R,55,3.89,0.0708,0.327,1.17,9,-5.86,-15.61,0.15,0.65
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D|tgt4.0R,79,3.85,0.0487,0.278,1.1,9,-15.9,-28.57,0.22,0.93
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D|tgt3.0R,81,3.79,0.0468,0.296,1.1,9,-10.96,-25.09,0.22,0.95
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt3.0R,68,3.7,0.0544,0.338,1.12,7,-11.05,-20.8,0.18,0.79
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt2.5R,75,3.66,0.0488,0.307,1.11,8,-8.59,-20.84,0.21,0.88
XPT_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt3.0R,44,3.56,0.0809,0.318,1.19,6,-10.48,-16.95,0.12,0.52
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D|tgt4.0R,31,3.52,0.1134,0.355,1.23,4,-10.74,-15.09,0.08,0.36
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D+12H|tgt4.0R,31,3.52,0.1134,0.355,1.23,4,-10.74,-15.09,0.08,0.36
